,dd,ts_c,par,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_d,fO3_h,c_i,td_dd,o3_ppb,o3_nmol_m3,canopy_height,o3_ppb_i,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,es,ei_acc,et_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,f_LS,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves,leaf_pop_distribution,layer_lai
112,104,21.96,522.78,3,4.28571414947509,0.06297130952380972,14.115552291443095,617.1050377282417,108.6200598614751,20.901920363551486,A_c,8.918387928542606,15.793446493375278,105.48437358702364,388.6831632571186,388.6831632571186,1166.0494897713559,1166.0494897713559,62.70576109065446,0,0,1e-05,0,0,0,0,1.0,1.0,310.17144059607836,27.29875,37.00719778723175,1401.116928690627,1.0,74.087,0.535555253011758,1.834725082874017,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,0.0011659398855794647,0.0009937760883213383,0,0.014305385208581704,0.011794859756284708,0.0,1.0,0.0,0.0,0.0,0.01,0.6666472000000001,1.0,0.9999998749150919,0.11569140570427101,35.161457862341216,107.55899164840568,52.48759938788033,31.699668589806908,518.6210481876461,90.0,200.0,1.0,0.32678169023398956,0,71.11968652027318,173.83474475241866,1.0667952978040975,3.2003858934122924,0,[[3.0]],[3.0]
113,104,20.94,314.16,3,4.28571414947509,0.06297130952380972,14.115552291443095,494.3715420777319,84.29932322828213,18.26943322868705,A_c,8.645613964598107,15.793446493375278,110.1202129075084,372.32038440060506,372.32038440060506,1116.9611532018153,1116.9611532018153,54.80829968606115,0,0,1e-05,0,0,0,0,1.0,1.0,318.5327458630087,27.29875,36.63789209619359,1392.0956398565336,1.0,72.585,0.5450794632843112,1.86584929314657,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,0.0008011983145691098,0.0006710115211157609,0,0.015106583523150814,0.012465871277400469,0.0,1.0,0.0,0.0,0.0,0.01,0.7421891500000001,1.0,0.9999998749150919,0.11942338653344103,36.706737635836134,104.19777315939301,50.84736190700907,32.915414911692295,502.41414043178224,90.0,200.0,1.0,0.22580362233850662,0,65.14327072459766,164.47595140959947,0.9771490608689648,2.9314471826068944,0,[[3.0]],[3.0]
114,104,13.33,85.94,3,4.28571414947509,0.06297130952380972,14.115552291443095,213.11065541380918,34.77926717837012,9.22556336199398,A_p,4.636434749266824,15.793446493375278,164.08924207039908,249.86403424552233,249.86403424552233,749.592102736567,749.592102736567,27.676690085981942,0,0,1e-05,0,0,0,0,1.0,1.0,330.9877624688318,27.29875,30.491975105883288,1191.6553581374571,1.0,66.396,0.5450794632843112,1.8825404582439305,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,7.234423570984083e-05,6.463545602610366e-05,0,0.015178927758860655,0.012530506733426573,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.037319808291700333,54.69641402346636,333.4328741100576,162.711558102429,48.6613238623782,1607.7252493817027,90.0,200.0,1.0,0.10035273334639867,0,31.014199346834125,100.62083166150882,0.46521299020251194,1.3956389706075358,0,[[3.0]],[3.0]
115,104,17.71,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.7243617720629255,A_j,0.6772385527018269,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-2.1730853161887764,0,0,1e-05,0,0,0,0,1.0,1.0,429.35245259232414,27.29875,37.373645480944525,1436.5937350668812,1.0,62.392,0.5450794632843112,1.884978517033657,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,1.2592340691264099e-05,5.671440943897502e-06,0,0.015191520099551919,0.012536178174370471,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.037319808291700333,655.161393416427,333.4328741100576,162.711558102429,263.5873665182837,1607.7252493817027,90.0,200.0,1.0,0.0,0,48.290784804195034,135.35763997305645,0.7243617720629255,2.1730853161887764,0,[[3.0]],[3.0]
116,104,15.51,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.582387305966109,A_j,0.6478911876246859,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-1.7471619178983269,0,0,1e-05,0,0,0,0,1.0,1.0,422.0378645500823,27.29875,35.464589702194516,1374.340573839801,1.0,59.205,0.5450794632843112,1.8873109253091058,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,1.9136069329849022e-05,8.241445643365586e-06,0,0.015210656168881767,0.012544419620013837,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.037319808291700333,655.161393416427,333.4328741100576,162.711558102429,263.5873665182837,1607.7252493817027,90.0,200.0,1.0,0.0,0,38.8258203977406,117.04543496214735,0.582387305966109,1.7471619178983269,0,[[3.0]],[3.0]
117,104,9.62,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.3126666173948935,A_j,0.6749188618938922,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-0.9379998521846804,0,0,1e-05,0,0,0,0,1.0,1.0,407.1837318429932,27.29875,35.74028208468716,1415.3940381775292,1.0,56.074,0.5450794632843112,1.8897406332119238,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,7.036414547233862e-05,2.152420346576409e-05,0,0.015281020314354106,0.0125659438234796,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.05224773160838046,655.161393416427,238.16633865004115,116.22254150173502,251.11365939160257,1148.3751781297876,90.0,200.0,1.0,0.0,0,20.844441159659567,76.85622496008102,0.3126666173948935,0.9379998521846804,0,[[3.0]],[3.0]
118,104,12.09,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.4081373496651168,A_j,0.591393458945562,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-1.2244120489953503,0,0,1e-05,0,0,0,0,1.0,1.0,414.0962495618348,27.29875,31.960960191711692,1254.494645485405,1.0,53.356,0.5450794632843112,1.8918696496641279,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,6.460296216221739e-05,2.593262962604109e-05,0,0.015345623276516323,0.012591876453105642,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.037319808291700333,655.161393416427,333.4328741100576,162.711558102429,263.5873665182837,1607.7252493817027,90.0,200.0,1.0,0.0,0,27.20915664434112,92.0944651989273,0.4081373496651168,1.2244120489953503,0,[[3.0]],[3.0]
119,104,10.85,0.0,3,4.28571414947509,0.06297130952380972,14.115552291443095,0.0,0.0,-0.35735587746800546,A_j,0.5791539069738425,15.793446493375278,1965.484180249281,20.86,20.86,62.58,62.58,-1.0720676324040164,0,0,1e-05,0,0,0,0,1.0,1.0,410.2271730713156,27.29875,31.16007924530794,1228.5314695668908,1.0,52.019,0.5450794632843112,1.8939546037292336,0.0,-0.05778853177304194,0.08463161541234514,0.03925001987943681,0.2376666401607509,5.68077783450825e-05,2.2229682738875347e-05,0,0.015402431054861405,0.012614106135844518,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999998749150919,0.037319808291700333,655.161393416427,333.4328741100576,162.711558102429,263.5873665182837,1607.7252493817027,90.0,200.0,1.0,0.0,0,23.8237251645337,84.15878432892558,0.35735587746800546,1.0720676324040164,0,[[3.0]],[3.0]
