Date,Year,dd,hr,Ts_C,VPD,u,SWC,"P, kPa","O3, ppb",PPFD,RH,"precip, mm"
12/03/2015,2015,71,23,4.27,-0.11,1.31,0.297,101.18,25.79321429,3173.61,113,5
13/03/2015,2015,72,0,4.18,-0.12,0.39,0.297,101.18,25.123,3173.61,114.3,5
13/03/2015,2015,72,1,4.12,-0.12,0.93,0.297,101.18,24.77342857,3173.61,114.6,5
13/03/2015,2015,72,2,4.01,-0.12,0.56,0.297,101.18,25.40285714,3173.61,114.9,5
13/03/2015,2015,72,3,3.69,-0.12,0.22,0.297,101.18,25.46164286,3173.61,115.2,5
13/03/2015,2015,72,4,3.61,-0.12,0.26,0.297,101.18,25.21907143,3173.61,115.7,5
13/03/2015,2015,72,5,3.46,-0.13,0.31,0.297,101.18,25.25185714,3173.61,116,5
13/03/2015,2015,72,6,3.1,-0.12,0.55,0.297,101.18,23.9655,3173.61,116.3,5
13/03/2015,2015,72,7,2.67,-0.12,0.65,0.297,101.18,24.20471429,3173.61,116.3,5
13/03/2015,2015,72,8,3.17,-0.13,0.91,0.297,101.18,27.15121429,3173.61,116.3,5
13/03/2015,2015,72,9,5.11,-0.12,2.32,0.297,101.18,28.79071429,3173.61,114.2,5
13/03/2015,2015,72,10,5.68,0,3.23,0.297,101.18,26.63607143,3173.61,100,5
13/03/2015,2015,72,11,5.74,0,3.34,0.297,101.18,26.11285714,3173.61,100,5
13/03/2015,2015,72,12,5.98,0,3.98,0.297,101.18,26.03485714,3173.61,100,5
13/03/2015,2015,72,13,6.44,0.01,3.97,0.297,101.18,27.473,3173.61,98.9,5
13/03/2015,2015,72,14,6.62,0,3.58,0.297,101.18,29.21878571,3173.61,100,5
13/03/2015,2015,72,15,6.1,0,3.23,0.297,101.18,26.29342857,3173.61,100,5
13/03/2015,2015,72,16,5.88,0.11,3.4,0.297,101.18,30.58507143,3173.61,87.9,5
13/03/2015,2015,72,17,5.58,0.07,2.71,0.297,101.18,30.64828571,3173.61,92.7,5
13/03/2015,2015,72,18,5.52,0.07,2.26,0.297,101.18,31.78157143,3173.61,92.2,5
13/03/2015,2015,72,19,5.54,-0.09,1.94,0.297,101.18,31.10035714,3173.61,109.7,5
13/03/2015,2015,72,20,5.48,-0.1,1.29,0.297,101.18,27.71071429,3173.61,111.3,5
13/03/2015,2015,72,21,4.39,-0.1,1.27,0.297,101.18,26.10742857,3173.61,111.4,5
13/03/2015,2015,72,22,4.49,-0.1,0.96,0.297,101.18,26.09778571,3173.61,111.4,5
13/03/2015,2015,72,23,3.64,-0.1,0.65,0.297,101.18,25.79321429,3173.61,112.3,5
14/03/2015,2015,73,0,0.97,-0.09,0.57,0.297,101.18,25.123,3173.61,114.3,5
14/03/2015,2015,73,1,1.81,-0.11,1.28,0.297,101.18,24.77342857,3173.61,116.1,5
14/03/2015,2015,73,2,4.27,-0.1,3.38,0.297,101.18,25.40285714,3173.61,112.3,5
14/03/2015,2015,73,3,4.14,0,4.44,0.297,101.18,25.46164286,3173.61,100,5
14/03/2015,2015,73,4,3.66,0,3.37,0.297,101.18,25.21907143,3173.61,100,5
14/03/2015,2015,73,5,3.25,0,2.81,0.297,101.18,25.25185714,3173.61,100,5
14/03/2015,2015,73,6,3.01,0.07,3.75,0.297,101.18,23.9655,3173.61,91.3,5
14/03/2015,2015,73,7,2.36,0.09,3.67,0.297,101.18,24.20471429,3173.61,87.3,5
14/03/2015,2015,73,8,2.49,0.18,3.65,0.297,101.18,27.15121429,3173.61,76.03,5
14/03/2015,2015,73,9,3.17,0.21,4.2,0.297,101.18,28.79071429,3173.61,72.29,5
14/03/2015,2015,73,10,4,0.2,3.07,0.297,101.18,26.63607143,3173.61,75.08,5
14/03/2015,2015,73,11,4.78,0.25,3.72,0.297,101.18,26.11285714,3173.61,70.95,5
14/03/2015,2015,73,12,5.59,0.31,3.93,0.297,101.18,26.03485714,3173.61,65.82,5
14/03/2015,2015,73,13,5.81,0.31,3.76,0.297,101.18,27.473,3173.61,66.1,5
14/03/2015,2015,73,14,6.62,0.33,3.9,0.297,101.18,29.21878571,3173.61,66.6,5
14/03/2015,2015,73,15,5.88,0.26,3.46,0.297,101.18,26.29342857,3173.61,72.08,5
14/03/2015,2015,73,16,5.61,0.21,3.12,0.297,101.18,30.58507143,3173.61,76.94,5
14/03/2015,2015,73,17,5.49,0.21,2.88,0.297,101.18,30.64828571,3173.61,76.48,5
14/03/2015,2015,73,18,5.24,0.17,3.53,0.297,101.18,31.78157143,3173.61,80.4,5
14/03/2015,2015,73,19,5.11,0.18,3.51,0.297,101.18,31.10035714,3173.61,79.91,5
14/03/2015,2015,73,20,5,0.24,3.55,0.297,101.18,27.71071429,3173.61,72.53,5
14/03/2015,2015,73,21,4.94,0.28,3.2,0.297,101.18,26.10742857,3173.61,67.78,5
14/03/2015,2015,73,22,4.03,0.19,2.6,0.297,101.18,26.09778571,3173.61,76.44,5
14/03/2015,2015,73,23,3.79,0.18,3.79,0.297,101.18,25.79321429,3173.61,76.95,5
15/03/2015,2015,74,0,3.52,0.17,3.78,0.297,101.18,25.123,3173.61,78.32,5
15/03/2015,2015,74,1,3.17,0.13,2.96,0.297,101.18,24.77342857,3173.61,82.7,5
15/03/2015,2015,74,2,3.51,0.15,3.77,0.297,101.18,25.40285714,3173.61,81.3,5
15/03/2015,2015,74,3,3.56,0.15,3.04,0.297,101.18,25.46164286,3173.61,81.6,5
15/03/2015,2015,74,4,3.79,0.14,3.42,0.297,101.18,25.21907143,3173.61,83.1,5
15/03/2015,2015,74,5,3.95,0.13,2.79,0.297,101.18,25.25185714,3173.61,83.7,5
15/03/2015,2015,74,6,4.01,0.1,2.19,0.297,101.18,23.9655,3173.61,87.1,5
15/03/2015,2015,74,7,4.21,0.11,2.99,0.297,101.18,24.20471429,3173.61,86.9,5
15/03/2015,2015,74,8,4.52,0.11,3.61,0.297,101.18,27.15121429,3173.61,87.2,5
15/03/2015,2015,74,9,5.05,0.12,3.45,0.297,101.18,28.79071429,3173.61,86.1,5
15/03/2015,2015,74,10,5.43,0.14,4.1,0.297,101.18,26.63607143,3173.61,84.5,5
15/03/2015,2015,74,11,6.06,0.16,4.39,0.297,101.18,26.11285714,3173.61,82.9,5
15/03/2015,2015,74,12,6.56,0.2,4.54,0.297,101.18,26.03485714,3173.61,79.87,5
15/03/2015,2015,74,13,6.6,0.2,4.62,0.297,101.18,27.473,3173.61,79.56,5
15/03/2015,2015,74,14,6.9,0.21,4.28,0.297,101.18,29.21878571,3173.61,79.05,5
15/03/2015,2015,74,15,6.92,0.23,4.04,0.297,101.18,26.29342857,3173.61,77.1,5
15/03/2015,2015,74,16,6.77,0.17,3.81,0.297,101.18,30.58507143,3173.61,82.5,5
15/03/2015,2015,74,17,6.48,0.16,3.33,0.297,101.18,30.64828571,3173.61,83,5
15/03/2015,2015,74,18,6.26,0.15,3.09,0.297,101.18,31.78157143,3173.61,84.4,5
15/03/2015,2015,74,19,5.81,0.11,2.29,0.297,101.18,31.10035714,3173.61,87.7,5
15/03/2015,2015,74,20,5.62,0.09,2.31,0.297,101.18,27.71071429,3173.61,89.8,5
15/03/2015,2015,74,21,5.74,0.11,2.79,0.297,101.18,26.10742857,3173.61,88.4,5
15/03/2015,2015,74,22,5.82,0.14,2.67,0.297,101.18,26.09778571,3173.61,84.9,5
15/03/2015,2015,74,23,5.54,0.16,2.83,0.297,101.18,25.79321429,3173.61,82.4,5
16/03/2015,2015,75,0,5.43,0.12,3.23,0.297,101.18,25.123,3173.61,86.4,5
16/03/2015,2015,75,1,5.15,0.12,2.95,0.297,101.18,24.77342857,3173.61,86.3,5
16/03/2015,2015,75,2,4.56,0.11,2.69,0.297,101.18,25.40285714,3173.61,86.9,5
16/03/2015,2015,75,3,4.09,0.11,2.8,0.297,101.18,25.46164286,3173.61,87,5
16/03/2015,2015,75,4,4.09,0.09,2.68,0.297,101.18,25.21907143,3173.61,88.8,5
16/03/2015,2015,75,5,4.64,0.08,3.67,0.297,101.18,25.25185714,3173.61,90.1,5
16/03/2015,2015,75,6,4.45,0.07,2.28,0.297,101.18,23.9655,3173.61,91.3,5
16/03/2015,2015,75,7,4.53,0.08,2.8,0.297,101.18,24.20471429,3173.61,90.8,5
16/03/2015,2015,75,8,4.57,0.09,2.83,0.297,101.18,27.15121429,3173.61,89.6,5
16/03/2015,2015,75,9,4.84,0.09,3.21,0.297,101.18,28.79071429,3173.61,89.1,5
16/03/2015,2015,75,10,4.9,0.1,2.9,0.297,101.18,26.63607143,3173.61,88.8,5
16/03/2015,2015,75,11,5.12,0.09,2.69,0.297,101.18,26.11285714,3173.61,89.7,5
16/03/2015,2015,75,12,5.15,0.08,3.28,0.297,101.18,26.03485714,3173.61,90.4,5
16/03/2015,2015,75,13,5.16,0.09,3.87,0.297,101.18,27.473,3173.61,90,5
16/03/2015,2015,75,14,5.37,0.1,3.59,0.297,101.18,29.21878571,3173.61,89.1,5
16/03/2015,2015,75,15,5.64,0.11,3.54,0.297,101.18,26.29342857,3173.61,88.3,5
16/03/2015,2015,75,16,5.79,0.11,3.37,0.297,101.18,30.58507143,3173.61,88.4,5
16/03/2015,2015,75,17,5.62,0.09,3.21,0.297,101.18,30.64828571,3173.61,89.8,5
16/03/2015,2015,75,18,5.35,0.06,2.72,0.297,101.18,31.78157143,3173.61,93,5
16/03/2015,2015,75,19,5.14,-0.07,2.73,0.297,101.18,31.10035714,3173.61,108.4,5
16/03/2015,2015,75,20,5.04,0.07,2.59,0.297,101.18,27.71071429,3173.61,92.2,5
16/03/2015,2015,75,21,4.91,0.07,2.55,0.297,101.18,26.10742857,3173.61,92.2,5
16/03/2015,2015,75,22,4.16,-0.07,1.9,0.297,101.18,26.09778571,3173.61,108.9,5
16/03/2015,2015,75,23,3.85,0,1.51,0.297,101.18,25.79321429,3173.61,100,5
17/03/2015,2015,76,0,4.3,0.08,1.88,0.297,101.18,25.123,3173.61,90.9,5
17/03/2015,2015,76,1,4,0.06,2.56,0.297,101.18,24.77342857,3173.61,93,5
17/03/2015,2015,76,2,3.8,0.05,2.07,0.297,101.18,25.40285714,3173.61,93.6,5
17/03/2015,2015,76,3,3.25,0.04,1.9,0.297,101.18,25.46164286,3173.61,94.5,5
17/03/2015,2015,76,4,3.68,0.06,1.94,0.297,101.18,25.21907143,3173.61,93,5
17/03/2015,2015,76,5,3.71,0.01,1.5,0.297,101.18,25.25185714,3173.61,99.1,5
17/03/2015,2015,76,6,3.67,-0.07,2.13,0.297,101.18,23.9655,3173.61,108.9,5
17/03/2015,2015,76,7,3.52,-0.08,1.46,0.297,101.18,24.20471429,3173.61,110.2,5
17/03/2015,2015,76,8,4.15,-0.07,1.08,0.297,101.18,27.15121429,3173.61,108.7,5
17/03/2015,2015,76,9,5.4,0.11,0.56,0.297,101.18,28.79071429,3173.61,87.4,5
17/03/2015,2015,76,10,6.69,0.23,1.21,0.297,101.18,26.63607143,3173.61,76.84,5
17/03/2015,2015,76,11,7.71,0.32,0.87,0.297,101.18,26.11285714,3173.61,69.54,5
17/03/2015,2015,76,12,8.05,0.28,1.23,0.297,101.18,26.03485714,3173.61,74.17,5
17/03/2015,2015,76,13,7.91,0.23,1.44,0.297,101.18,27.473,3173.61,78.72,5
17/03/2015,2015,76,14,7.24,0.22,1.5,0.297,101.18,29.21878571,3173.61,78.33,5
17/03/2015,2015,76,15,7.57,0.24,1.44,0.297,101.18,26.29342857,3173.61,77.14,5
17/03/2015,2015,76,16,7.48,0.22,1.41,0.297,101.18,30.58507143,3173.61,78.88,5
17/03/2015,2015,76,17,7.17,0.17,1.34,0.297,101.18,30.64828571,3173.61,82.9,5
17/03/2015,2015,76,18,5.82,0.1,0.75,0.297,101.18,31.78157143,3173.61,89,5
17/03/2015,2015,76,19,3.27,-0.07,0.62,0.297,101.18,31.10035714,3173.61,108.7,5
17/03/2015,2015,76,20,1.29,-0.09,0.23,0.297,101.18,27.71071429,3173.61,112.9,5
17/03/2015,2015,76,21,0.2,-0.08,0.07,0.297,101.18,26.10742857,3173.61,113.7,5
17/03/2015,2015,76,22,1.19,-0.09,0.17,0.297,101.18,26.09778571,3173.61,113,5
17/03/2015,2015,76,23,-0.85,-0.09,0.11,0.297,101.18,25.79321429,3173.61,114.9,5
18/03/2015,2015,77,0,-1,-0.09,0.29,0.297,101.18,25.123,3173.61,115.6,5
18/03/2015,2015,77,1,-1.26,-0.09,0.03,0.297,101.18,24.77342857,3173.61,115.5,5
18/03/2015,2015,77,2,-1.78,-0.08,0.16,0.297,101.18,25.40285714,3173.61,115.6,5
18/03/2015,2015,77,3,-2.23,-0.08,0.07,0.297,101.18,25.46164286,3173.61,115.8,5
18/03/2015,2015,77,4,-2.73,-0.08,0.06,0.297,101.18,25.21907143,3173.61,115.9,5
18/03/2015,2015,77,5,-3.1,-0.08,0.02,0.297,101.18,25.25185714,3173.61,116.2,5
18/03/2015,2015,77,6,-2.5,-0.08,0.08,0.297,101.18,23.9655,3173.61,116.4,5
18/03/2015,2015,77,7,-2.45,-0.08,0.09,0.297,101.18,24.20471429,3173.61,116.3,5
18/03/2015,2015,77,8,-1.78,-0.09,0.13,0.297,101.18,27.15121429,3173.61,116.5,5
18/03/2015,2015,77,9,1.6,-0.11,0.12,0.297,101.18,28.79071429,3173.61,116,5
18/03/2015,2015,77,10,5.94,0,1.94,0.297,101.18,26.63607143,3173.61,100,5
18/03/2015,2015,77,11,7.19,0.17,2.44,0.297,101.18,26.11285714,3173.61,83.5,5
18/03/2015,2015,77,12,7.74,0.24,2.72,0.297,101.18,26.03485714,3173.61,77.18,5
18/03/2015,2015,77,13,8.92,0.36,2.5,0.297,101.18,27.473,3173.61,68.34,5
18/03/2015,2015,77,14,9.24,0.38,2.43,0.297,101.18,29.21878571,3173.61,67.52,5
18/03/2015,2015,77,15,9.28,0.38,2.68,0.297,101.18,26.29342857,3173.61,67.49,5
18/03/2015,2015,77,16,8.59,0.31,2.39,0.297,101.18,30.58507143,3173.61,72.05,5
18/03/2015,2015,77,17,7.96,0.25,2.11,0.297,101.18,30.64828571,3173.61,76.26,5
18/03/2015,2015,77,18,6.31,0.11,1.88,0.297,101.18,31.78157143,3173.61,88.6,5
18/03/2015,2015,77,19,3.5,-0.07,0.59,0.297,101.18,31.10035714,3173.61,109.5,5
18/03/2015,2015,77,20,1.79,-0.09,0.64,0.297,101.18,27.71071429,3173.61,113.1,5
18/03/2015,2015,77,21,1.82,-0.1,0.8,0.297,101.18,26.10742857,3173.61,114.6,5
18/03/2015,2015,77,22,1.43,-0.1,0.75,0.297,101.18,26.09778571,3173.61,114.8,5
18/03/2015,2015,77,23,0.13,-0.1,0.22,0.297,101.18,25.79321429,3173.61,115.7,5
19/03/2015,2015,78,0,-0.22,-0.09,0,0.297,101.18,25.123,3173.61,115.6,5
19/03/2015,2015,78,1,-1.45,-0.09,0.22,0.297,101.18,24.77342857,3173.61,116.5,5
19/03/2015,2015,78,2,-1.26,-0.09,0.03,0.297,101.18,25.40285714,3173.61,116.5,5
19/03/2015,2015,78,3,-1.56,-0.09,0.04,0.297,101.18,25.46164286,3173.61,116.5,5
19/03/2015,2015,78,4,-1.86,-0.09,0.11,0.297,101.18,25.21907143,3173.61,116.9,5
19/03/2015,2015,78,5,-1.01,-0.1,0.15,0.297,101.18,25.25185714,3173.61,116.8,5
19/03/2015,2015,78,6,-1.3,-0.09,0.07,0.297,101.18,23.9655,3173.61,116.5,5
19/03/2015,2015,78,7,-2.59,-0.09,0.15,0.297,101.18,24.20471429,3173.61,116.9,5
19/03/2015,2015,78,8,-0.79,-0.1,0,0.297,101.18,27.15121429,3173.61,116.6,5
19/03/2015,2015,78,9,4.17,-0.13,0.25,0.297,101.18,28.79071429,3173.61,116.1,5
19/03/2015,2015,78,10,7.51,0.23,1.5,0.297,101.18,26.63607143,3173.61,77.38,5
19/03/2015,2015,78,11,9.28,0.32,2.35,0.297,101.18,26.11285714,3173.61,72.55,5
19/03/2015,2015,78,12,9.54,0.36,2.44,0.297,101.18,26.03485714,3173.61,69.47,5
19/03/2015,2015,78,13,9.86,0.42,2.54,0.297,101.18,27.473,3173.61,65.23,5
19/03/2015,2015,78,14,10.22,0.47,2.53,0.297,101.18,29.21878571,3173.61,62.33,5
19/03/2015,2015,78,15,10.33,0.48,2.35,0.297,101.18,26.29342857,3173.61,61.65,5
19/03/2015,2015,78,16,10.07,0.49,2.19,0.297,101.18,30.58507143,3173.61,60.59,5
19/03/2015,2015,78,17,9.26,0.43,2.04,0.297,101.18,30.64828571,3173.61,62.92,5
19/03/2015,2015,78,18,7.6,0.25,1.34,0.297,101.18,31.78157143,3173.61,76,5
19/03/2015,2015,78,19,4.13,0.1,0.34,0.297,101.18,31.10035714,3173.61,88.4,5
19/03/2015,2015,78,20,1.15,-0.06,0.22,0.297,101.18,27.71071429,3173.61,109.4,5
19/03/2015,2015,78,21,1.15,-0.08,0.19,0.297,101.18,26.10742857,3173.61,111.4,5
19/03/2015,2015,78,22,1.87,-0.07,0.39,0.297,101.18,26.09778571,3173.61,110.6,5
19/03/2015,2015,78,23,1.76,-0.08,0.11,0.297,101.18,25.79321429,3173.61,111.1,5
20/03/2015,2015,79,0,1.45,-0.08,0.4,0.297,101.18,25.123,3173.61,111.8,5
20/03/2015,2015,79,1,0.25,-0.08,0.11,0.297,101.18,24.77342857,3173.61,113.4,5
20/03/2015,2015,79,2,-0.12,-0.08,0.1,0.297,101.18,25.40285714,3173.61,113.7,5
20/03/2015,2015,79,3,0.66,-0.09,0.39,0.297,101.18,25.46164286,3173.61,114.7,5
20/03/2015,2015,79,4,1.32,-0.1,0.13,0.297,101.18,25.21907143,3173.61,114.8,5
20/03/2015,2015,79,5,1.28,-0.1,0.39,0.297,101.18,25.25185714,3173.61,114.6,5
20/03/2015,2015,79,6,0.19,-0.09,0.47,0.297,101.18,23.9655,3173.61,114.2,5
20/03/2015,2015,79,7,0.73,-0.1,0.74,0.297,101.18,24.20471429,3173.61,115.3,5
20/03/2015,2015,79,8,2.3,-0.1,0.67,0.297,101.18,27.15121429,3173.61,114,5
20/03/2015,2015,79,9,6.65,0,1.54,0.297,101.18,28.79071429,3173.61,100,5
20/03/2015,2015,79,10,7.32,0,1.26,0.297,101.18,26.63607143,3173.61,100,5
20/03/2015,2015,79,11,7.49,-0.09,1.44,0.297,101.18,26.11285714,3173.61,108.4,5
20/03/2015,2015,79,12,7.63,-0.12,1.62,0.297,101.18,26.03485714,3173.61,111.9,5
20/03/2015,2015,79,13,8.6,0,1.86,0.297,101.18,27.473,3173.61,100,5
20/03/2015,2015,79,14,8.95,0,3.02,0.297,101.18,29.21878571,3173.61,100,5
20/03/2015,2015,79,15,9.01,0.21,2.84,0.297,101.18,26.29342857,3173.61,81.8,5
20/03/2015,2015,79,16,9.22,0.19,2.51,0.297,101.18,30.58507143,3173.61,83.3,5
20/03/2015,2015,79,17,8.23,0.18,2.54,0.297,101.18,30.64828571,3173.61,83.7,5
20/03/2015,2015,79,18,7.86,0.18,1.24,0.297,101.18,31.78157143,3173.61,83.5,5
20/03/2015,2015,79,19,7.21,0.15,0.46,0.297,101.18,31.10035714,3173.61,85.3,5
20/03/2015,2015,79,20,6.97,0.15,0.84,0.297,101.18,27.71071429,3173.61,84.5,5
20/03/2015,2015,79,21,7.04,0.13,0.85,0.297,101.18,26.10742857,3173.61,86.8,5
20/03/2015,2015,79,22,6.95,0.09,2,0.297,101.18,26.09778571,3173.61,90.6,5
20/03/2015,2015,79,23,6.74,0.08,3.49,0.297,101.18,25.79321429,3173.61,91.8,5
21/03/2015,2015,80,0,6.47,0.03,3.3,0.297,101.18,25.123,3173.61,96.8,5
21/03/2015,2015,80,1,5.38,-0.1,2.05,0.297,101.18,24.77342857,3173.61,111.5,5
21/03/2015,2015,80,2,3.75,-0.11,1.02,0.297,101.18,25.40285714,3173.61,113.7,5
21/03/2015,2015,80,3,3.92,-0.12,1.01,0.297,101.18,25.46164286,3173.61,114.4,5
21/03/2015,2015,80,4,3.63,-0.11,1.08,0.297,101.18,25.21907143,3173.61,114.1,5
21/03/2015,2015,80,5,1.98,-0.11,0.48,0.297,101.18,25.25185714,3173.61,115.7,5
21/03/2015,2015,80,6,2.09,-0.11,0.86,0.297,101.18,23.9655,3173.61,115.4,5
21/03/2015,2015,80,7,2.51,-0.12,0.88,0.297,101.18,24.20471429,3173.61,116,5
