,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,canopy_height,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
0,71,0,5.36,0.0,0.0,3,4.0,-1.001,12.684030137590337,28.320915726026634,1.0,2.899999999999999,0.0,0.0,24.526637252792842,1071.6384338006915,1.0,0.0,['NA'],0.5373116311873227,0.5373116311873227,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.000309552462103151,-5.422480503591996e-06,False,0,-0.000309552462103151,-5.422480503591996e-06,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.0822744404593092,655.161393416427,11.49768531413992,5.610743382842381,140.87188777111504,51.742883234158256,90,180,0.0,3,12.96254722871128,50.04972230685678,0.5833146252920076,0.5833146252920076,1
1,71,1,5.85,0.0,0.0,3,4.0,-1.001,12.684030137590337,27.595424733888635,1.0,3.2999999999999994,0.0,0.0,24.23965321961096,1057.2392195493042,1.0,0.0,['NA'],0.5305739759930742,0.5305739759930742,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,-0.00036614362882986007,-5.729128579626447e-06,False,0,-0.0006756960909330111,-1.1151609083218444e-05,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.2315536736261106,655.161393416427,10.104026488183566,4.930653275831183,138.8861471748122,45.47101859971483,90,180,0.0,3,13.703027738841383,51.982082801864145,0.6166362482478622,0.6166362482478622,1
2,71,2,5.88,0.0,0.0,3,4.0,-1.001,12.684030137590337,29.27541260795342,1.0,2.34,0.0,0.0,24.69931154818786,1077.1718997702972,1.0,0.0,['NA'],0.5391994072547238,0.5391994072547238,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0,0.0,False,0,-0.0006756960909330111,-1.1151609083218444e-05,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,0.8732835140257875,655.161393416427,14.24926812436144,6.953485388992695,144.66721503378128,64.12579546113629,90,180,0.0,3,13.749611174973632,52.10250732656679,0.6187325028738133,0.6187325028738133,1
3,71,3,5.19,0.0,0.0,3,4.0,-1.001,12.684030137590337,33.36821002812582,1.0,0.9300000000000002,0.0,0.0,24.225576056489565,1059.1306990187823,1.0,0.0,['NA'],0.525199659903146,0.525199659903146,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0,0.0,False,0,-0.0006756960909330111,-1.1151609083218444e-05,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,0.3470742171128131,655.161393416427,35.85299721613522,17.495866462626775,169.67123695307438,161.3487756764074,90,180,0.0,3,12.71443013985215,49.39434983569625,0.5721493562933467,0.5721493562933467,1
4,71,4,5.9,0.0,0.0,3,4.0,-1.001,12.684030137590337,33.78008539335031,1.0,0.82,0.0,0.0,23.914013733082545,1042.8492035177587,1.0,0.0,['NA'],0.5162754938903678,0.5162754938903678,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0,0.0,False,0,-0.0006756960909330111,-1.1151609083218444e-05,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,0.3060224279919427,655.161393416427,40.662545623177756,19.842872939320614,174.2963621343023,182.99312363299867,90,180,0.0,3,13.780748140921022,52.18292732839476,0.620133666341446,0.620133666341446,1
5,71,5,8.4,0.0,0.0,3,4.0,-1.001,12.684030137590337,33.75139343909503,1.0,0.8299999999999997,0.0,0.0,23.952957929346205,1035.272519951323,1.0,0.0,['NA'],0.512608074986462,0.512608074986462,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,2.4627027988955544e-05,1.5743190933217203e-06,False,0,-0.0006510690629440556,-9.577289989896723e-06,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,0.30975440882111266,655.161393416427,40.17263543494671,19.60380218101555,173.838309043738,180.78838720368546,90,180,0.0,3,18.227555836736574,63.13668665043305,0.8202400126531457,0.8202400126531457,1
6,71,6,10.13,0.0,0.0,3,4.0,-1.001,12.684030137590337,30.69022932636919,1.0,1.07,0.0,0.0,22.88568022638234,983.1029017424031,1.0,0.0,['NA'],0.4883377049909751,0.4883377049909751,0.0,1965.484180249281,20.86,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,0.0,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,2.795891760202891e-05,1.4815577300414533e-06,False,0,-0.0006231101453420267,-8.09573225985527e-06,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,0.3993219487211936,655.161393416427,31.161950851407244,15.206687673124204,164.86787675530041,140.23772091500828,90,180,0.0,3,22.03624143560513,71.83492136984364,0.9916308646022309,0.9916308646022309,1
7,71,7,10.38,1.0021881838074398,0.0,3,4.0,-1.001,12.684030137590337,29.050192281506984,1.0,1.67,0.7189140671010713,0.7069059201834792,23.365495153071013,1002.8293528955239,1.0,-0.38919579735224186,['A_j'],0.500501804374721,0.500501804374721,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-0.38919579735224186,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1192.6567737983728,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,8.266122055296872e-05,2.8833012614238974e-06,False,0,-0.000540448924789058,-5.212430998431372e-06,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,0.6232407984713955,655.161393416427,19.966040365871713,9.743207072001738,152.0596358222186,89.8529110054245,90,180,0.08675100521757538,3,22.64269137459779,73.17225512021872,1.0189211118569004,1.0189211118569004,1
8,71,8,10.57,17.065645514223192,0.0,3,4.0,-1.001,12.684030137590337,31.33677180435494,1.0,3.5899999999999994,12.197689671418631,12.049158428393335,26.39213633197249,1131.971939115826,1.0,9.23448284308207,['A_j'],2.443939003072064,2.443939003072064,0.0,446.0030178091837,91.92762910304184,91.92762910304184,275.7828873091255,275.7828873091255,9.23448284308207,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1065.0142786410584,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.00022673083686658874,1.572944035003826e-05,False,0,-0.0003137180879224692,1.0517009351606889e-05,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.3397811176720416,148.66767260306122,9.28782379136651,4.532355378897745,80.24331329300864,41.797872250434246,90,180,0.18633587759886697,3,23.113625488841627,74.20253902539783,1.0401131469978733,1.0401131469978733,1
9,71,9,10.75,26.46389496717724,0.0,3,4.0,-1.001,12.684030137590337,34.27193929898789,1.0,3.42,18.882626029691775,18.703299299266064,27.83219856832547,1192.980068996003,1.0,14.52600164223039,['A_j'],3.6683341882644602,3.6683341882644602,0.0,308.43805118926457,132.92782729599557,132.92782729599557,398.7834818879867,398.7834818879867,14.52600164223039,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1053.8467078473109,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0008048738213238666,8.224604209263596e-05,False,0,0.0004911557334013974,9.276305144424285e-05,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.2763374435761512,102.81268372975487,9.749499242984141,4.757647897731843,64.82192735987512,43.87554426288272,90,180,0.26550595728627097,3,23.567896079631602,75.1897477987836,1.0605553235834217,1.0605553235834217,1
10,71,10,10.64,56.161925601750546,0.0,3,4.0,-1.001,12.684030137590337,32.98297990724824,1.0,3.879999999999999,40.04424076475377,39.71594035311927,25.576275089009513,1096.708659701061,1.0,28.632948603997306,['A_j'],5.960482279972574,5.960482279972574,0.0,169.03160760491625,242.55818530597426,242.55818530597426,727.6745559179228,727.6745559179228,28.632948603997306,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1040.2998217890527,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0007122710802808705,0.00010988108311714117,False,0,0.001203426813682268,0.00020264413456138401,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,1.4480085617179723,56.34386920163874,8.593630776032416,4.193596858310028,42.484531551922174,38.6738044791389,90,180,0.3193278024183877,3,23.28934085331592,74.58516116447908,1.0480203383992164,1.0480203383992164,1
11,71,11,10.61,80.64113785557986,0.0,3,4.0,-1.001,12.684030137590337,30.462788348460343,1.0,6.239999999999999,57.651383503772415,55.479728769155564,25.333875636232232,1086.4294388701092,1.0,33.776206257714335,['A_p'],6.920502976188953,6.920502976188953,0.0,145.2915094243823,282.1913005270185,282.1913005270185,846.5739015810555,846.5739015810555,33.776206257714335,0,0,1e-05,0,0,0,0,1,1,1,1.0,1.0,1039.25091799079,0.0,109.3235208333333,0.0,0.0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.001145149636431961,0.00013337696176860144,False,0,0.0023485764501142287,0.0003360210963299855,False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2240845625063231,2.3287560374021004,48.43050314146076,5.343475546635539,2.6075570208722603,37.437073385171225,24.047173297926108,90,180,0.34913833124048094,3,23.213887462346623,74.42097910440984,1.0446249358055981,1.0446249358055981,1
