dd,hr,Ts_C,P,u,prec,PPFD,VPD,O3,Tleaf,Leaf_f_phen
187,22,10.4625,101.3,4,0,0,0.123478645,16.15785714,10.4625,0
187,23,10.405,101.3,4,0,0,0.107550937,15.54357143,10.405,0
188,0,9.49,101.3,4,0,0,0.101745579,14.35357143,9.49,0
188,1,7.24275,101.3,4,0,0,0.093458174,3.644,7.24275,0
188,2,6.64125,101.3,4,0,0,0.077702196,1.476357143,6.64125,0
188,3,6.8835,101.3,4,0,0,0.085716247,1.8105,6.8835,0
188,4,6.2535,101.3,4,0,0.000625,0.075175824,0.861428571,6.2535,0
188,5,8.59,101.3,4,0,0.210625,0.08067225,1.224785714,8.59,0
188,6,10.57,101.3,4,0,0.5395,0.105234096,5.362214286,10.57,0
188,7,13.5575,101.3,4,0,1.007375,0.174728167,4.805642857,13.5575,0
188,8,15.0675,101.3,4,0,1.48275,0.334815831,9.230785714,15.0675,0
188,9,16.54,101.3,4,0,1.949,0.485027275,9.637142857,16.54,0
188,10,17.705,101.3,4,0,2.377875,0.591029354,11.10785714,17.705,0
188,11,19.6,101.3,4,0,2.50775,0.667691632,10.17214286,19.6,0
188,12,20.46,101.3,4,0,2.862375,0.744961553,11.74071429,20.46,0
188,13,20.955,101.3,4,0,3.110125,0.79956787,11.94,20.955,0
188,14,21.14,101.3,4,0,3.001,0.822684822,12.08071429,21.14,0
188,15,20.7675,101.3,4,0,2.539625,0.789973743,13.90214286,20.7675,0
188,16,15.6625,101.3,4,0,1.645125,0.183266794,11.47214286,15.6625,0
188,17,15.6425,101.3,4,0,1.70025,0.404714397,14.89642857,15.6425,0
188,18,14.715,101.3,4,0,1.0565,0.44072096,17.81928571,14.715,0
188,19,14.1825,101.3,4,0,0.782625,0.447640875,18.26214286,14.1825,0
188,20,13.5175,101.3,4,0,0.44225,0.381852731,18.015,13.5175,0
188,21,11.9,101.3,4,0,0.10625,0.208636196,19.095,11.9,0
188,22,10.4625,101.3,4,0,0,0.123478645,16.15785714,10.4625,0
188,23,10.405,101.3,4,0,0,0.107550937,15.54357143,10.405,0
189,0,9.49,101.3,4,0,0,0.101745579,14.35357143,9.49,0
189,1,7.24275,101.3,4,0,0,0.093458174,3.644,7.24275,0
189,2,6.64125,101.3,4,0,0,0.077702196,1.476357143,6.64125,0
189,3,6.8835,101.3,4,0,0,0.085716247,1.8105,6.8835,0
189,4,6.2535,101.3,4,0,0.000625,0.075175824,0.861428571,6.2535,0
189,5,8.59,101.3,4,0,0.210625,0.08067225,1.224785714,8.59,0
189,6,10.57,101.3,4,0,0.5395,0.105234096,5.362214286,10.57,0
189,7,13.5575,101.3,4,0,1.007375,0.174728167,4.805642857,13.5575,0
189,8,15.0675,101.3,4,0,1.48275,0.334815831,9.230785714,15.0675,0
189,9,16.54,101.3,4,0,1.949,0.485027275,9.637142857,16.54,0
189,10,17.705,101.3,4,0,2.377875,0.591029354,11.10785714,17.705,0
189,11,19.6,101.3,4,0,2.50775,0.667691632,10.17214286,19.6,0
189,12,20.46,101.3,4,0,2.862375,0.744961553,11.74071429,20.46,0
189,13,20.955,101.3,4,0,3.110125,0.79956787,11.94,20.955,0
189,14,21.14,101.3,4,0,3.001,0.822684822,12.08071429,21.14,0
189,15,20.7675,101.3,4,0,2.539625,0.789973743,13.90214286,20.7675,0
189,16,15.6625,101.3,4,0,1.645125,0.183266794,11.47214286,15.6625,0
189,17,15.6425,101.3,4,0,1.70025,0.404714397,14.89642857,15.6425,0
189,18,14.715,101.3,4,0,1.0565,0.44072096,17.81928571,14.715,0
189,19,14.1825,101.3,4,0,0.782625,0.447640875,18.26214286,14.1825,0
189,20,13.5175,101.3,4,0,0.44225,0.381852731,18.015,13.5175,0
189,21,11.9,101.3,4,0,0.10625,0.208636196,19.095,11.9,0
189,22,10.4625,101.3,4,0,0,0.123478645,16.15785714,10.4625,0
189,23,10.405,101.3,4,0,0,0.107550937,15.54357143,10.405,0
190,0,9.49,101.3,4,0,0,0.101745579,14.35357143,9.49,0
190,1,7.24275,101.3,4,0,0,0.093458174,3.644,7.24275,0
190,2,6.64125,101.3,4,0,0,0.077702196,1.476357143,6.64125,0
190,3,6.8835,101.3,4,0,0,0.085716247,1.8105,6.8835,0
190,4,6.2535,101.3,4,0,0.000625,0.075175824,0.861428571,6.2535,0
190,5,8.59,101.3,4,0,0.210625,0.08067225,1.224785714,8.59,0
190,6,10.57,101.3,4,0,0.5395,0.105234096,5.362214286,10.57,0
190,7,13.5575,101.3,4,0,1.007375,0.174728167,4.805642857,13.5575,0
190,8,15.0675,101.3,4,0,1.48275,0.334815831,9.230785714,15.0675,0
190,9,16.54,101.3,4,0,1.949,0.485027275,9.637142857,16.54,0
190,10,17.705,101.3,4,0,2.377875,0.591029354,11.10785714,17.705,0
190,11,19.6,101.3,4,0,2.50775,0.667691632,10.17214286,19.6,0
190,12,20.46,101.3,4,0,2.862375,0.744961553,11.74071429,20.46,0
190,13,20.955,101.3,4,0,3.110125,0.79956787,11.94,20.955,0
190,14,21.14,101.3,4,0,3.001,0.822684822,12.08071429,21.14,0
190,15,20.7675,101.3,4,0,2.539625,0.789973743,13.90214286,20.7675,0
190,16,15.6625,101.3,4,0,1.645125,0.183266794,11.47214286,15.6625,0
190,17,15.6425,101.3,4,0,1.70025,0.404714397,14.89642857,15.6425,0
190,18,14.715,101.3,4,0,1.0565,0.44072096,17.81928571,14.715,0
190,19,14.1825,101.3,4,0,0.782625,0.447640875,18.26214286,14.1825,0
190,20,13.5175,101.3,4,0,0.44225,0.381852731,18.015,13.5175,0
190,21,11.9,101.3,4,0,0.10625,0.208636196,19.095,11.9,0
190,22,10.4625,101.3,4,0,0,0.123478645,16.15785714,10.4625,0
190,23,10.405,101.3,4,0,0,0.107550937,15.54357143,10.405,0
191,0,9.49,101.3,4,0,0,0.101745579,14.35357143,9.49,0
191,1,7.24275,101.3,4,0,0,0.093458174,3.644,7.24275,0
191,2,6.64125,101.3,4,0,0,0.077702196,1.476357143,6.64125,0
191,3,6.8835,101.3,4,0,0,0.085716247,1.8105,6.8835,0
191,4,6.2535,101.3,4,0,0.000625,0.075175824,0.861428571,6.2535,0
191,5,8.59,101.3,4,0,0.210625,0.08067225,1.224785714,8.59,0
191,6,10.57,101.3,4,0,0.5395,0.105234096,5.362214286,10.57,0
191,7,13.5575,101.3,4,0,1.007375,0.174728167,4.805642857,13.5575,0
191,8,15.0675,101.3,4,0,1.48275,0.334815831,9.230785714,15.0675,0
191,9,16.54,101.3,4,0,1.949,0.485027275,9.637142857,16.54,0
191,10,17.705,101.3,4,0,2.377875,0.591029354,11.10785714,17.705,0
191,11,19.6,101.3,4,0,2.50775,0.667691632,10.17214286,19.6,0
191,12,20.46,101.3,4,0,2.862375,0.744961553,11.74071429,20.46,0
191,13,20.955,101.3,4,0,3.110125,0.79956787,11.94,20.955,0
191,14,21.14,101.3,4,0,3.001,0.822684822,12.08071429,21.14,0
191,15,20.7675,101.3,4,0,2.539625,0.789973743,13.90214286,20.7675,0
191,16,15.6625,101.3,4,0,1.645125,0.183266794,11.47214286,15.6625,0
191,17,15.6425,101.3,4,0,1.70025,0.404714397,14.89642857,15.6425,0
191,18,14.715,101.3,4,0,1.0565,0.44072096,17.81928571,14.715,0
191,19,14.1825,101.3,4,0,0.782625,0.447640875,18.26214286,14.1825,0
191,20,13.5175,101.3,4,0,0.44225,0.381852731,18.015,13.5175,0
191,21,11.9,101.3,4,0,0.10625,0.208636196,19.095,11.9,0
191,22,10.4625,101.3,4,0,0,0.123478645,16.15785714,10.4625,0
191,23,10.405,101.3,4,0,0,0.107550937,15.54357143,10.405,0
192,0,9.49,101.3,4,0,0,0.101745579,14.35357143,9.49,0
192,1,7.24275,101.3,4,0,0,0.093458174,3.644,7.24275,0
192,2,6.64125,101.3,4,0,0,0.077702196,1.476357143,6.64125,0
192,3,6.8835,101.3,4,0,0,0.085716247,1.8105,6.8835,0
192,4,6.2535,101.3,4,0,0.000625,0.075175824,0.861428571,6.2535,0
