,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,u_i,ustar,canopy_height,|,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,LAI_flag,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,fst_acc_day,fst_acc_day_prev,rsto_l,rb_l,gsto_l,gsto_l_bulk,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
10,71,10,10.64,56.161925601750546,0.0,3,3.0,-1.001,12.701908669196873,27.24340882873854,13.283536511850993,0.878355279701649,1.0,|,2.353590009992064,40.05305241010685,39.70810386568902,25.446420584181578,1091.1405087701542,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.99758170430037,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378728476940407,0.9232037908444094,0.01,1.0,1.0,1.0,100000.0,14.1669905418736,6.9133348379133235,190.64899085278944,47.81664204747098,,,0.30068778011704744,3,,,,0,0
11,71,11,10.61,80.64113785557986,0.0,3,3.0,-1.001,12.701908669196873,26.509651462762342,21.36321335926552,1.41261261477791,1.0,|,3.785155067616104,57.911487556989734,54.797828952563236,25.310667161885462,1085.4341561062854,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,14.19180782982803,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9218490300407742,0.974910353299743,0.01,1.0,1.0,1.0,100000.0,8.808962067703455,4.298676149215335,179.7625010812014,29.73214281156849,,,0.33069243258696374,3,,,,0,0
12,71,12,10.51,70.9671772428884,0.0,3,3.0,-1.001,12.701908669196873,26.43327670381382,21.192033765040637,1.4012936034415486,1.0,|,3.7548252994461038,50.68219168679784,49.58663901924016,25.22974892955552,1082.3454517363816,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,14.249010027951346,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8980024189713032,0.9609612290599029,0.01,1.0,1.0,1.0,100000.0,8.880116850156632,4.333398896785733,179.90951603104634,29.972305516023802,,,0.33906979369054263,3,,,,0,0
13,71,13,10.27,80.97592997811816,0.0,3,3.0,-1.001,12.701908669196873,27.91477386160555,20.02801252431142,1.3243243263542903,1.0,|,3.548582875890097,58.24194822661971,54.81181626641734,26.583191904966622,1141.373274145053,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,14.657236100666662,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9221845129970155,0.975291303196198,0.01,1.0,1.0,1.0,100000.0,9.396226205550352,4.585254559163024,180.9738669869109,31.71428566567306,,,0.3263997093015694,3,,,,0,0
14,71,14,9.89,42.31947483588621,0.0,3,3.0,-1.001,12.701908669196873,29.756082663805948,17.15219534133337,1.1341649359034178,1.0,|,3.039042770634083,30.184458478380318,29.91818473750516,28.146965456607873,1210.1378113261603,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,15.838394412136413,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460954598625507,0.8554312346714233,0.01,1.0,1.0,1.0,100000.0,10.971641377738438,5.354039754711317,184.2012142485236,37.03165092698352,,,0.291825638026313,3,,,,0,0
15,71,15,9.56,25.553610503282275,0.0,3,3.0,-1.001,12.701908669196873,26.768004887055984,17.52879044862812,1.1590667608434133,1.0,|,3.1057682606080856,18.243456108919467,18.053008467052983,25.345385371789245,1090.9599176267961,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,15.667331626740038,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5626624229279099,0.6889494998246322,0.01,1.0,1.0,1.0,100000.0,10.735922520013585,5.239011556856189,183.7203825219469,36.236049051599096,,,0.23372095662724435,3,,,,0,0
16,71,16,9.36,20.71553610503282,0.0,3,3.0,-1.001,12.701908669196873,31.154307747184415,16.912543909418538,1.1183183200325122,1.0,|,2.996581095196083,14.823195262141837,14.619824395002581,29.450586749209872,1268.560524999875,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,15.950215024933106,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4880546710387475,0.6119806230449285,0.01,1.0,1.0,1.0,100000.0,11.127109980256995,5.429906714798317,184.51795374613462,37.55639091987598,,,0.1524667245614126,3,,,,0,0
17,71,17,9.34,11.424507658643325,0.0,3,3.0,-1.001,12.701908669196873,31.212834891618733,17.117959422488397,1.1319011336361458,1.0,|,3.0329768170000833,10.940177803421946,7.6552480567040515,29.522247635186247,1271.737291795214,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,15.854224895260653,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30062010009785556,0.4067266351798957,0.01,1.0,1.0,1.0,100000.0,10.99358466049391,5.364747834220737,184.2459387100038,37.10571422883747,,,0.05514247362470776,3,,,,0,0
18,71,18,9.25,4.978118161925601,0.0,3,3.0,-1.001,12.701908669196873,32.36499703725642,17.18643126017835,1.1364287381706903,1.0,|,3.0451087242680837,0.0,0.0,30.617577243367474,1319.3414170474186,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,15.82261125484082,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,10.94978551842023,5.343374336873244,184.15666177944775,36.95788269804529,,,0.0,3,,,,0,0
19,71,19,8.26,0.0,0.0,3,3.0,-1.001,12.701908669196873,31.74757876541129,14.82415285987495,0.980226381728902,1.0,|,2.6265579235220713,0.0,0.0,29.822152792188756,1289.58665745288,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.0367232422536,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,12.69467050865348,6.19485893097083,187.69420897465332,42.847245067941664,,,0.0,3,,,,0,0
