,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,u_i,ustar,canopy_height,|,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,LAI_flag,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,fst_acc_day,fst_acc_day_prev,rsto_l,rb_l,gsto_l,gsto_l_bulk,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
250,81,10,6.82,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,27.541503747463313,8.011205009724568,0.5297297305417161,1.0,|,1.4194331503560387,556.3235946959727,145.90854541499564,24.940699556572778,1084.0472193351934,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,23.17512514047584,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991523935817408,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,23.490565513875882,11.463136397907562,208.7437469624479,79.28571416418265,,,0.333072301792241,3,,,,0,0
251,81,11,8.39,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,26.863566834826848,9.962652383888248,0.6587664597762369,1.0,|,1.7651925074940489,518.1582592704324,134.61026235923322,24.67746995465211,1066.6245904025839,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,20.781817283480198,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986373818801355,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,18.889320722498127,9.217779783884428,199.94442323162113,63.755522729961285,,,0.36023756422245073,3,,,,0,0
252,81,12,9.33,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,26.78738543107702,9.894180546198294,0.6542388552416922,1.0,|,1.753060600226048,508.8665962325204,131.68727656239423,24.596895130201734,1059.6041517220658,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,20.853602703748415,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984594550650068,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,19.02004266521438,9.281570647440722,200.1978717187959,64.19673742013404,,,0.3671428484754737,3,,,,0,0
253,81,13,9.45,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,28.159336868810357,11.879863839206948,0.7855393867434851,1.0,|,2.1048859109980578,526.2527520074992,137.09814273280523,26.14053572985383,1125.6241252757136,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,19.031160820482704,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987725615841898,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,15.840900087167018,7.730184199165328,193.97530657756872,53.466447015615955,,,0.3543132225757502,3,,,,0,0
254,81,14,9.27,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,29.882189978316347,13.35200834954095,0.8828828842361937,1.0,|,2.365721917260065,574.5563855001742,150.9570241257883,27.918795999092378,1202.963091998725,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.95137474306715,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993146419279407,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,14.094339308325527,6.8778818387445355,190.503829270669,47.57142849850958,,,0.32079557069242803,3,,,,0,0
255,81,15,8.82,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,26.861546153481797,14.173670401820392,0.9372141386507286,1.0,|,2.5113048044760684,668.5879365431698,174.4337371314898,25.17512326112984,1086.4750751311446,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.423277194600402,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997462148126592,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,13.277276160016804,6.479164050991231,188.86671104527895,44.813664527581494,,,0.26464402776438106,3,,,,0,0
256,81,16,8.61,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,31.26509587154462,13.694367537990717,0.9055209069089165,1.0,|,2.4263814536000665,849.9944694586173,214.14343928629947,29.24993244660339,1263.2711996504604,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.72556229818615,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999541909805384,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,13.741980825617391,6.705934792775923,189.7988542205886,46.38214278604685,,,0.1850873744255325,3,,,,0,0
257,81,17,7.84,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,31.357671904879872,13.043885079936157,0.862508663830743,1.0,|,2.3111283345540636,1184.5898762678826,313.78884140438277,29.260703679500867,1267.199427710185,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,18.162161317234744,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999460123178,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,14.42727645734109,7.040351488478658,191.16851436582044,48.695163029970445,,,0.08768940177896621,3,,,,0,0
258,81,18,6.79,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,32.58114816304698,11.777156082672017,0.7787479799416682,1.0,|,2.086688050096057,0.0,0.0,30.230373820235044,1314.1036622664428,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,19.113965392037258,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,15.979047471648128,7.797598596251072,194.24827260584098,53.93272416982191,,,0.0,3,,,,0,0
259,81,19,5.35,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,32.037466918689624,9.380641763523643,0.620281821232608,1.0,|,1.662071295716046,0.0,0.0,29.3184871787664,1281.0539619467218,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,21.416807602069362,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,20.061285876813702,9.789685828869956,202.20937373363677,67.71115735189319,,,0.0,3,,,,0,0
260,81,20,3.92,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,28.697093378251143,7.531902145894896,0.4980364987999042,1.0,|,1.3345097994800368,0.0,0.0,25.87542206248499,1136.4465225288313,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,23.901143327041467,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,24.9854196829407,12.192608714138037,211.54952057095895,84.33116870190334,,,0.0,3,,,,0,0
261,81,21,3.68,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,26.93392896096168,8.798631143159035,0.5817971826889788,1.0,|,1.5589500839380426,0.0,0.0,24.545431470774247,1078.9680490635442,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,22.113803945954707,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,21.38829700485197,10.43725259576019,204.7542782865382,72.19010550357486,,,0.0,3,,,,0,0
262,81,22,5.13,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,26.646216414418475,14.652973265650068,0.9689073703925408,1.0,|,2.596228155352071,0.0,0.0,25.015595929977707,1093.9057996929662,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.13594786250866,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,12.842972734221858,6.267228778295254,187.9930782505011,43.347796996305455,,,0.0,3,,,,0,0
263,81,23,5.64,694.4442013129103,43.822500000000005,3,3.0,-1.001,13.404186153922383,26.2783055774038,16.707128396348676,1.1047355064288784,1.0,|,2.9601853733920813,0.0,0.0,24.827217454669707,1083.6821566811814,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,16.047970066894226,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,11.263918709522448,5.496667862931083,184.79641877769163,38.01814982462855,,,0.0,3,,,,0,0
264,82,0,5.8,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,25.62538212463061,15.543107155619465,1.0277662293416203,1.0,|,2.753942949836076,0.0,0.0,24.12749653572075,1052.5360085602476,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,16.6380371699758,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,12.10747209305497,5.908312592754117,186.50809223345138,40.8653240405699,,,0.0,3,,,,0,0
265,82,1,6.04,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,25.264251772136408,15.714286749844346,1.0390852406779816,1.0,|,2.784272718006076,0.0,0.0,23.80008622323438,1037.3605737453124,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,16.54716790956522,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,11.975582418838686,5.843951889129345,186.2410744195416,40.42016800526959,,,0.0,3,,,,0,0
266,82,2,6.26,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,25.89436821448414,16.159353694829047,1.0685146701525217,1.0,|,2.863130115248079,0.0,0.0,24.42627494262024,1063.8156186293147,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,16.31770273968564,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,11.645746462387617,5.6829955870982385,185.5723271344451,39.30690066614139,,,0.0,3,,,,0,0
267,82,3,6.35,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,25.961492182151797,15.885466344069227,1.0504042520143428,1.0,|,2.814602486176076,0.0,0.0,24.469656201261614,1065.361802820871,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,16.457771426700393,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,11.846535194497752,5.780978269634417,185.97959553422032,39.984605850040396,,,0.0,3,,,,0,0
268,82,4,6.57,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,25.76288037976019,14.20790632066537,0.9394779409180009,1.0,|,2.5173707581100686,0.0,0.0,24.14842595288013,1050.549147083791,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,17.402272633384115,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,13.24528272348664,6.463551607494865,188.80243551514087,44.70567979378009,,,0.0,3,,,,0,0
269,82,5,6.65,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,25.845312152289154,12.804233648021322,0.8466620479598371,1.0,|,2.2686666591160622,0.0,0.0,24.092727017235514,1047.826351121159,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,18.33134012526376,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,100000.0,14.697305695847472,7.172122773022375,191.70658874810735,49.60656982464902,,,0.0,3,,,,0,0
270,82,6,6.22,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,24.537509737015455,12.564582216106484,0.8308154320889309,1.0,|,2.226204983678061,527.8055537625497,488.2946313381564,22.849932858982548,995.3050940428901,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,18.505336406481067,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999997996731,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,14.97763577723966,7.308920755069124,192.26422566857568,50.552744180977484,,,0.01900245378840881,3,,,,0,0
271,82,7,6.06,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,24.822387236240644,11.571740569602156,0.7651651663380344,1.0,|,2.050292328292056,1060.7176200402523,264.63378661401174,23.008169699061433,1002.7719324929785,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,19.282869694449282,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999950891706977,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,16.26269920191407,7.936017506243695,194.80800341447974,54.8901098059726,,,0.12217118990219582,3,,,,0,0
272,82,8,6.42,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,27.993191558838994,9.038282575073874,0.5976437985598849,1.0,|,1.601411759376044,772.6233552122721,197.53798293489908,25.555852326588823,1112.3741035496791,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,21.81865891730781,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999057609429355,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,20.821183069117257,10.160507261781701,203.66922663066774,70.27597391825279,,,0.21509298753080505,3,,,,0,0
273,82,9,6.87,694.4442013129103,50.442499999999995,3,3.0,-1.001,13.47475174845057,29.80867190067186,7.6003739835848485,0.5025641033344487,1.0,|,1.346641706748037,628.1210283080277,164.7689108667957,26.89488356083113,1168.7770720457922,1.0,3.0,,,0.0,0.0,0.0,0.0,0.0,100000.0,23.793236937002103,0.0,0.0,0.0,0.0,0.0,0,0,0,1e-05,0,0,0,0,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.12000000000000004,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996174802462292,0.9999999999999835,0.01,1.0,1.0,1.0,100000.0,24.760325811923227,12.08276539238905,211.12866077765239,83.57142844332765,,,0.287368652050731,3,,,,0,0
