,dd,ts_c,par,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_d,fO3_h,c_i,td_dd,o3_ppb,o3_nmol_m3,canopy_height,o3_ppb_i,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,es,ei_acc,et_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,f_LS,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc
0,100,7.12,0.0,3.0,4.28571414947509,-1.0,13.942296987044244,0.0,0.0,-0.4742430853607386,A_j,0.5883449556562957,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-1.4227292560822158,0,0,1e-05,0,0,0,0,1.0,1.0,415.11183686235745,0.0,29.641273159525372,1193.4887996048524,1.0,36.884,0.0,0.0021180418403626646,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,6.702546841677012e-05,5.69787731094744e-06,0,6.702546841677012e-05,5.69787731094744e-06,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.227650830579372,655.161393416427,54.661126903288135,26.67402591843099,185.25935347137315,263.56151629208244,180.0,400.0,1.0,0.0,0,31.61620569071591,127.3341791935471,0.4742430853607386,1.4227292560822158
1,100,7.58,0.0,3.0,4.28571414947509,-1.0,13.942296987044244,0.0,0.0,-0.4992414781923369,A_j,0.5731360855091294,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-1.4977244345770107,0,0,1e-05,0,0,0,0,1.0,1.0,416.4012634830417,0.0,28.955543687247857,1164.216007784423,1.0,36.426,0.0,0.004181331748195531,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,8.623164329575153e-05,8.029516750017245e-06,0,0.00015325711171252165,1.3727394060964685e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.20899092643352185,655.161393416427,59.54158466251029,29.055635375433756,188.90665274434542,287.0937945324469,180.0,400.0,1.0,0.0,0,33.28276521282246,131.86944852236186,0.4992414781923369,1.4977244345770107
2,100,7.35,0.0,3.0,4.28571414947509,-1.0,13.942296987044244,0.0,0.0,-0.4865946189362833,A_j,0.5552778555962599,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-1.45978385680885,0,0,1e-05,0,0,0,0,1.0,1.0,415.77829267365007,0.0,28.076816009139193,1129.690250709637,1.0,35.758,0.0,0.006180332028342067,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,7.5566365552093e-05,7.606716241666181e-06,0,0.00022882347726461467,2.1334110302630866e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.19033102228767165,655.161393416427,65.37899492354072,31.90422707890766,192.99545005276502,315.24024497680455,180.0,400.0,1.0,0.0,0,32.43964126241889,129.5844747856276,0.4865946189362833,1.45978385680885
3,100,6.34,0.0,3.0,4.28571414947509,-1.0,13.942296987044244,0.0,0.0,-0.43447430782286955,A_j,0.5356527067904073,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-1.3034229234686086,0,0,1e-05,0,0,0,0,1.0,1.0,413.14087150361115,0.0,27.013599904935933,1091.303785778281,1.0,34.787,0.0,0.008108681772787533,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,4.003251518531243e-05,4.213912546530208e-06,0,0.0002688559924499271,2.5548022849161074e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.17540309897099157,655.161393416427,70.94316470426757,34.61948044732532,196.64097750761127,342.0692019961069,180.0,400.0,1.0,0.0,0,28.96495385485797,119.95584711528977,0.43447430782286955,1.3034229234686086
4,100,6.86,0.0,3.0,4.28571414947509,-1.0,13.942296987044244,0.0,0.0,-0.46062852937314464,A_j,0.5200197280206527,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-1.3818855881194338,0,0,1e-05,0,0,0,0,1.0,1.0,414.47373474557253,0.0,26.2852026096581,1059.4541774440881,1.0,33.849,0.0,0.009980752793661883,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,6.386339222796214e-05,6.821923551190132e-06,0,0.00033271938467788924,3.236994640035121e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.17540309897099157,655.161393416427,70.94316470426757,34.61948044732532,196.64097750761127,342.0692019961069,180.0,400.0,1.0,0.0,0,30.70856862487631,124.83164644863402,0.46062852937314464,1.3818855881194338
5,100,6.6,0.0,3.0,4.28571414947509,-1.0,13.942296987044244,0.0,0.0,-0.4473750836757017,A_j,0.505940988372623,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-1.3421252510271051,0,0,1e-05,0,0,0,0,1.0,1.0,413.79831683127094,0.0,25.54438062704078,1030.7710742279342,1.0,32.895,0.0,0.011802140351803327,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,6.076311476762904e-05,6.443128663413018e-06,0,0.00039348249944551827,3.881307506376423e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.17540309897099157,655.161393416427,70.94316470426757,34.61948044732532,196.64097750761127,342.0692019961069,180.0,400.0,1.0,0.0,0,29.825005578380114,122.3723881274233,0.4473750836757017,1.3421252510271051
6,100,10.07,24.11,3.0,4.28571414947509,-1.0,13.942296987044244,21.556007958227745,16.875915299561974,4.217927342220778,A_j,2.029076171392284,0.0,344.91643025001923,118.86937357631926,118.86937357631926,356.6081207289578,356.6081207289578,12.653782026662334,0,0,1e-05,0,0,0,0,1.0,1.0,349.89939613311526,0.0,19.901767939158574,793.7472152258057,1.0,30.77,0.0,0.01910681456881555,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,2.712432274965446e-06,1.1816907388992635e-06,0,0.0003961949317204837,3.9994765802663494e-05,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.1716711181418215,114.97214341667308,72.48540741522991,35.37207784835414,81.75369699500828,349.5054889960224,180.0,400.0,1.0,0.02020625269257879,0,43.78579245948332,158.9267556813815,0.6567868868922497,1.9703606606767492
7,100,7.58,246.16,3.0,4.28571414947509,-1.0,13.942296987044244,500.455547850931,81.57747175766215,16.142141128218896,A_p,6.084742429589298,0.0,102.30129618608333,400.7769356648433,400.7769356648433,1202.33080699453,1202.33080699453,48.42642338465669,0,0,1e-05,0,0,0,0,1.0,1.0,337.09790815091014,0.0,20.330074305176392,817.7600131676077,1.0,34.659,0.000305072746521472,0.041011887315337024,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0002960306832891132,0.00017167775611190078,0,0.0006922256150095969,0.0002116725219145643,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.29855846633360267,34.10043206202778,41.6791092637572,20.338944762803624,29.821008511660327,200.96565617271284,180.0,400.0,1.0,0.15113073160085913,0,33.28276521282246,131.86944852236186,0.49924147819233694,1.4977244345770109
8,100,8.82,459.01,3.0,4.28571414947509,-1.0,13.942296987044244,635.0177073196162,111.25602166613233,18.519748924981958,A_p,7.392290590430839,0.0,89.1232156556877,460.037260755901,460.037260755901,1380.111782267703,1380.111782267703,55.559246774945876,0,0,1e-05,0,0,0,0,1.0,1.0,335.92759151770036,0.0,22.100913797038828,885.1753468851441,1.0,37.996,0.005317318872072494,0.06762413344088805,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0005724026151754758,0.00034492822856956604,0,0.0012646282301850727,0.0005566007504841303,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.32468233213779285,29.7077385518959,38.32561771379972,18.70247794280793,26.333579735599564,184.7960056760578,180.0,400.0,1.0,0.26859351043864804,0,38.18504932985971,144.80172911215283,0.5727757399478957,1.718327219843687
9,100,14.32,650.18,3.0,4.28571414947509,-1.0,13.942296987044244,709.2166839706799,124.17909475588282,29.668440079612875,A_c,10.319241160252446,0.0,54.19061745648082,756.5885373593705,756.5885373593705,2269.7656120781116,2269.7656120781116,89.00532023883862,0,0,1e-05,0,0,0,0,1.0,1.0,329.70674054649277,0.0,21.95509510347156,862.3275590296929,1.0,40.798,0.020866587048981297,0.10477340161779686,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0009434337356087982,0.0006978748675367163,0,0.002208061965793871,0.0012544756180208466,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.343342236283643,18.063539152160274,36.24270370761496,17.68603892417707,16.738405063835284,174.7527444980112,180.0,400.0,1.0,0.3567535841746697,0,68.75389033396971,215.71049019906945,1.0313083550095454,3.0939250650286363
