dd,hr,Ts_C,RH,u,O3,precip,Rn,PPFD
327,16,15.71,0.66,0.92,36.39713095238092,0.0,0.05680883239,36.057828333333326
327,17,13.76,0.6681,1.11,24.456190476190447,0.0,0.0,0.0
327,18,13.03,0.6956,1.11,13.383428571428562,0.0,0.0,0.0
327,19,12.4,0.7225,1.08,9.505732142857132,0.0,0.0,0.0
327,20,11.71,0.7575,1.06,10.97995833333332,0.0,0.0,0.0
327,21,10.85,0.8075,1.1,11.985803571428564,0.0,0.0,0.0
327,22,9.83,0.8706,1.14,10.763607142857136,0.0,0.0,0.0
327,23,8.98,0.9288,1.15,9.316827380952377,0.0,0.0,0.0
328,0,8.37,0.9775,1.14,6.593583333333328,0.0,0.0,0.0
328,1,7.92,1.0,1.13,5.38933928571428,0.0,0.0,0.0
328,2,7.73,1.0,1.07,4.039249999999997,0.0,0.0,0.0
328,3,7.83,1.0,0.95,4.393642857142853,0.0,0.0,0.0
328,4,8.22,1.0,0.64,4.065898809523805,0.0,0.0,0.0
328,5,8.65,1.0,0.15,3.0787202380952357,0.0,0.0,0.0
328,6,8.19,1.0,0.48,2.4223749999999975,0.0,0.0,0.0
328,7,8.0,1.0,0.74,3.732410714285711,0.0,0.2186463756,138.77971341666665
328,8,10.31,0.8981,1.43,9.15745238095237,0.0,0.5114147506,324.60630697222217
328,9,13.05,0.7818999999999999,1.57,16.385083333333313,0.0,0.8346840587,529.7925205833333
328,10,16.69,0.6169,1.98,22.125553571428544,0.0,1.099656684,697.9765341666666
328,11,17.93,0.565,2.09,29.097261904761872,0.0,1.224230338,777.0462005833332
328,12,18.67,0.5344,2.08,33.35874999999997,0.0,1.040142669,660.2016663888888
328,13,19.04,0.5156000000000001,2.07,34.767678571428554,0.0,0.9275394483,588.7298998333333
328,14,18.89,0.5188,2.04,37.568809523809485,0.0,0.6554657184,416.03865738888885
328,15,18.11,0.5588000000000001,1.87,38.89684523809522,0.0,0.3315201147,210.42318391666666
328,16,15.05,0.7112,1.21,36.39713095238092,0.0,0.07114629961,45.15813738888889
328,17,12.32,0.7875,1.61,24.456190476190447,0.0,0.0,0.0
328,18,11.54,0.8488,2.11,13.383428571428562,0.0,0.0,0.0
328,19,10.81,0.9218999999999999,2.48,9.505732142857132,0.0,0.0,0.0
328,20,10.05,0.9887999999999999,2.54,10.97995833333332,0.0,0.0,0.0
328,21,9.33,1.0,2.32,11.985803571428564,0.0,0.0,0.0
328,22,8.7,1.0,2.09,10.763607142857136,0.0,0.0,0.0
328,23,8.14,1.0,1.92,9.316827380952377,0.0,0.0,0.0
329,0,7.58,1.0,1.78,6.593583333333328,0.0,0.0,0.0
329,1,7.05,1.0,1.68,5.38933928571428,0.0,0.0,0.0
329,2,6.6,1.0,1.61,4.039249999999997,0.0,0.0,0.0
329,3,6.37,1.0,1.56,4.393642857142853,0.0,0.0,0.0
329,4,6.26,1.0,1.53,4.065898809523805,0.0,0.0,0.0
329,5,6.19,1.0,1.54,3.0787202380952357,0.0,0.0,0.0
329,6,6.19,1.0,1.58,2.4223749999999975,0.0,0.0,0.0
329,7,7.9,1.0,1.97,3.732410714285711,0.0,0.2346745814,148.95317180555554
329,8,11.06,0.8975,3.09,9.15745238095237,0.0,0.6891452405,437.4157984722222
329,9,14.26,0.7512000000000001,3.77,16.385083333333313,0.0,1.04622933,664.0650051388889
329,10,16.6,0.6481,4.45,22.125553571428544,0.0,1.40175794,889.7269144444443
329,11,17.86,0.6019,4.22,29.097261904761872,0.0,1.243031356,788.9796247222223
329,12,18.26,0.59,3.75,33.35874999999997,0.0,1.081531961,686.4723698888887
329,13,18.31,0.5931000000000001,3.31,34.767678571428554,0.0,0.6703442221,425.48237433333327
329,14,18.12,0.6112,2.78,37.568809523809485,0.0,0.5185158551,329.11353583333334
329,15,17.25,0.7012,1.38,38.89684523809522,0.0,0.2434664245,154.53355
329,16,15.26,0.7775,0.98,36.39713095238092,0.0,0.05423890902,34.42664086111111
329,17,13.85,0.8144,1.11,24.456190476190447,0.0,0.0,0.0
329,18,13.25,0.8506,1.17,13.383428571428562,0.0,0.0,0.0
329,19,12.8,0.885,1.26,9.505732142857132,0.0,0.0,0.0
329,20,12.41,0.925,1.33,10.97995833333332,0.0,0.0,0.0
329,21,12.03,0.9688,1.36,11.985803571428564,0.0,0.0,0.0
329,22,11.64,1.0,1.31,10.763607142857136,0.0,0.0,0.0
329,23,11.26,1.0,1.19,9.316827380952377,0.0,0.0,0.0
330,0,10.93,1.0,1.03,6.593583333333328,0.0,0.0,0.0
330,1,10.73,1.0,0.92,5.38933928571428,0.0,0.0,0.0
330,2,10.66,1.0,0.87,4.039249999999997,0.0,0.0,0.0
330,3,10.23,1.0,0.89,4.393642857142853,0.0,0.0,0.0
330,4,9.36,1.0,1.07,4.065898809523805,0.0,0.0,0.0
330,5,8.94,1.0,1.53,3.0787202380952357,0.0,0.0,0.0
330,6,9.32,1.0,2.72,2.4223749999999975,0.0,0.0,0.0
330,7,9.71,0.955,4.21,3.732410714285711,0.0,0.1104390748,70.09813499999998
330,8,10.44,0.8694,4.91,9.15745238095237,0.0,0.2720737299,172.6912424444444
330,9,11.53,0.7644,5.35,16.385083333333313,0.0,0.4690110155,297.691714
330,10,12.57,0.6718999999999999,5.33,22.125553571428544,0.0,0.6688563718,424.5380026388889
330,11,13.34,0.615,5.07,29.097261904761872,0.0,0.7525141409,477.6374477777777
330,12,13.9,0.5811999999999999,4.9,33.35874999999997,0.0,0.8245396243,523.3536226666665
330,13,14.05,0.5606,4.94,34.767678571428554,0.0,0.8250806608,523.6970305555556
330,14,13.6,0.5562,4.95,37.568809523809485,0.0,0.6353797389,403.2896398333333
330,15,12.76,0.5706,4.72,38.89684523809522,0.0,0.3498477256,222.05612583333328
330,16,11.44,0.6162,4.11,36.39713095238092,0.0,0.07168733611,45.50154527777778
330,17,9.62,0.6819,3.73,24.456190476190447,0.0,0.0,0.0
330,18,8.07,0.7243999999999999,3.76,13.383428571428562,0.0,0.0,0.0
330,19,6.62,0.7694,3.51,9.505732142857132,0.0,0.0,0.0
330,20,5.51,0.8081,3.11,10.97995833333332,0.0,0.0,0.0
330,21,4.7,0.8331000000000001,2.79,11.985803571428564,0.0,0.0,0.0
330,22,3.92,0.8531,2.76,10.763607142857136,0.0,0.0,0.0
330,23,3.27,0.8562000000000001,3.07,9.316827380952377,0.0,0.0,0.0
331,0,2.58,0.8488,3.36,6.593583333333328,0.0,0.0,0.0
331,1,1.87,0.8369,3.5,5.38933928571428,0.0,0.0,0.0
331,2,1.49,0.8162,3.76,4.039249999999997,0.0,0.0,0.0
331,3,1.05,0.8369,3.73,4.393642857142853,0.0,0.0,0.0
331,4,0.71,0.8575,3.6,4.065898809523805,0.0,0.0,0.0
331,5,0.46,0.8569,3.27,3.0787202380952357,0.0,0.0,0.0
331,6,0.04,0.845,2.87,2.4223749999999975,0.0,0.0,0.0
331,7,0.8,0.7644,3.38,3.732410714285711,0.0,0.2916186729,185.09685211111108
331,8,3.13,0.6487999999999999,3.63,9.15745238095237,0.0,0.823051774,522.4092509722223
331,9,6.86,0.505,4.05,16.385083333333313,0.0,1.309646476,831.261721361111
331,10,9.17,0.4269,4.08,22.125553571428544,0.0,1.649485026,1046.9648012500002
331,11,10.43,0.3862,3.99,29.097261904761872,0.0,1.808414498,1147.840868611111
331,12,11.26,0.3638,4.0,33.35874999999997,0.0,1.629331416,1034.1728573888888
