,nL,g_sto_0,m,V_cmax_25,J_max_25,R_d_coeff,f_VPD_method,PARsun,PARshade,LAIsunfrac,layer_lai_frac,layer_lai,D_0,g_bv,Tleaf_C,eact,c_a,fO3_d,f_LS,f_SW,f_VPD
14,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(422.6393708226868, 422.6393708226868, 422.6393708226868)","(140.21581999682712, 140.21581999682712, 140.21581999682712)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1676057.8748957326,"[5.59, 5.59, 5.59]",0.32003,391.0,1.0,1.0,1,1
15,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(277.9976972750815, 277.9976972750815, 277.9976972750815)","(89.1479339508227, 89.1479339508227, 89.1479339508227)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1596828.7322064317,"[3.38, 3.38, 3.38]",0.19115,391.0,1.0,1.0,1,1
16,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(137.14161481457683, 137.14161481457683, 137.14161481457683)","(43.66020511689119, 43.66020511689119, 43.66020511689119)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1484627.2259392252,"[5.02, 5.02, 5.02]",0.29237,391.0,1.0,1.0,1,1
17,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1331141.6153062002,"[4.2, 4.2, 4.2]",0.25039,391.0,1.0,1.0,1,1
18,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,464854.8160447518,"[3.48, 3.48, 3.48]",0.1963,391.0,1.0,1.0,1,1
19,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,207889.39366884498,"[3.42, 3.42, 3.42]",0.0,391.0,1.0,1.0,1,1
20,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,464854.8160447518,"[3.45, 3.45, 3.45]",0.03397,391.0,1.0,1.0,1,1
21,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,906168.8584364394,"[3.19, 3.19, 3.19]",0.13065,391.0,1.0,1.0,1,1
22,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,997002.5075194143,"[3.38, 3.38, 3.38]",0.13021,391.0,1.0,1.0,1,1
23,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1080224.9765673815,"[3.28, 3.28, 3.28]",0.10994,391.0,1.0,1.0,1,1
24,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1176000.0,"[2.62, 2.62, 2.62]",0.05912,391.0,1.0,1.0,1,1
25,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1138657.1037849807,"[3.01, 3.01, 3.01]",0.07699,391.0,1.0,1.0,1,1
26,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1100047.2717115388,"[2.82, 2.82, 2.82]",0.06619,391.0,1.0,1.0,1,1
27,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1100047.2717115388,"[1.62, 1.62, 1.62]",0.00582,391.0,1.0,1.0,1,1
28,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,997002.5075194143,"[2.3, 2.3, 2.3]",0.04404,391.0,1.0,1.0,1,1
29,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,881999.9999999999,"[1.96, 1.96, 1.96]",0.03409,391.0,1.0,1.0,1,1
30,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,657403.9853849382,"[1.87, 1.87, 1.87]",0.04941,391.0,1.0,1.0,1,1
31,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,657403.9853849382,"[1.7, 1.7, 1.7]",0.0366,391.0,1.0,1.0,1,1
32,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(58.00061651404703, 58.00061651404703, 58.00061651404703)","(35.56839264699673, 35.56839264699673, 35.56839264699673)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,657403.9853849382,"[1.79, 1.79, 1.79]",0.03602,391.0,1.0,1.0,1,1
33,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(336.16387225271666, 336.16387225271666, 336.16387225271666)","(104.91132413502484, 104.91132413502484, 104.91132413502484)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,689491.1166940442,"[6.37, 6.37, 6.37]",0.29727,391.0,1.0,1.0,1,1
34,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(420.1071937679462, 420.1071937679462, 420.1071937679462)","(136.92480827647123, 136.92480827647123, 136.92480827647123)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1583238.453297544,"[3.38, 3.38, 3.38]",0.09297,391.0,1.0,1.0,1,1
35,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(454.62475551754767, 454.62475551754767, 454.62475551754767)","(151.69383249241787, 151.69383249241787, 151.69383249241787)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1788332.1839076765,"[4.88, 4.88, 4.88]",0.16725,391.0,1.0,1.0,1,1
36,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(460.00633881032655, 460.00633881032655, 460.00633881032655)","(154.3090148734446, 154.3090148734446, 154.3090148734446)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,1972211.9561548147,"[6.13, 6.13, 6.13]",0.23601,391.0,1.0,1.0,1,1
37,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(447.9461212642532, 447.9461212642532, 447.9461212642532)","(150.1500572357876, 150.1500572357876, 150.1500572357876)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2047473.0767460656,"[6.31, 6.31, 6.31]",0.24948,391.0,1.0,1.0,1,1
38,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(412.84841728340126, 412.84841728340126, 412.84841728340126)","(136.82401830676832, 136.82401830676832, 136.82401830676832)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2109846.9138778765,"[6.23, 6.23, 6.23]",0.24724,391.0,1.0,1.0,1,1
39,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(320.5117660988317, 320.5117660988317, 320.5117660988317)","(102.53226001488655, 102.53226001488655, 102.53226001488655)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2180362.3552061245,"[3.96, 3.96, 3.96]",0.11226,391.0,1.0,1.0,1,1
40,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(161.74365010663587, 161.74365010663587, 161.74365010663587)","(51.157526806680615, 51.157526806680615, 51.157526806680615)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2170428.9898543097,"[5.42, 5.42, 5.42]",0.18986,391.0,1.0,1.0,1,1
41,3,20000,8.12,"[180.0, 180.0, 180.0]","[400, 400, 400]",0.015,FVPDMethods.LEUNING,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","[0, 0, 0]",[nan nan nan],"[0.0, 0.0, 0.0]",2.27,2150424.6092341854,"[4.7, 4.7, 4.7]",0.13706,391.0,1.0,1.0,1,1
