,lai,sai,rsto,dvi,photoperiod,PARsun,PARshade,A_n,fst,rsto_l,gsto_l,gsto,fO3_d,c_i,td_dd
0,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08589184680700843,0.001318466494953931,100000.0,12.066053624901782,0.0,1.0,398.62951530386215,0.0
1,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08777333576634706,0.0012626121432013034,100000.0,12.050079016664357,0.0,1.0,398.8068776650502,0.0
2,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08682793732280705,0.001234504889454494,100000.0,12.062951854336621,0.0,1.0,398.7146305687289,0.0
3,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.0845402864760118,0.0012165988412762875,100000.0,12.089548207983983,0.0,1.0,398.49501125149493,0.0
4,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08546292150673387,0.0011986053606246282,100000.0,12.080994550701574,0.0,1.0,398.58366746466163,0.0
5,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08496498161532538,0.001187885914676307,100000.0,12.087288765617481,0.0,1.0,398.5372283902043,0.0
6,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08155292264011568,0.001139627929790504,100000.0,12.123285798276815,0.0,1.0,398.2158270061823,0.0
7,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08348701727278554,0.0010972883487354087,100000.0,12.110301840676886,0.0,1.0,398.38629899172827,0.0
8,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08251479398317399,0.0011120797440879765,100000.0,12.134111101024288,0.0,1.0,398.2814041299446,0.0
9,0.0,0.0,100000.0,-1.0,8.942670523667536,419.39110221234876,171.98417200427232,12.45652674274089,0.0011348932548747217,100000.0,180.15044171409235,0.0,1.0,307.3082973345081,0.0
10,0.0,0.0,100000.0,-1.0,8.942670523667536,608.7420570544392,190.3681350209821,10.341088716446318,0.0012256827410320492,100000.0,154.54698612305535,0.0,1.0,311.8150880130964,0.0
11,0.0,0.0,100000.0,-1.0,8.942670523667536,652.4753107637187,205.5393558970392,11.340098664761056,0.0012718785295555484,100000.0,165.62682403269602,0.0,1.0,309.6224064383662,0.0
12,0.0,0.0,100000.0,-1.0,8.942670523667536,672.4935495962463,213.72471512324597,13.581400269765698,0.0012935356926692305,100000.0,190.6301145960233,0.0,1.0,305.15666086450096,0.0
13,0.0,0.0,100000.0,-1.0,8.942670523667536,666.6314693880266,210.77099016117074,12.831259335894599,0.0013151144480500051,100000.0,182.1829804404043,0.0,1.0,306.25165520652433,0.0
14,0.0,0.0,100000.0,-1.0,8.942670523667536,636.3669372502726,198.73657682257448,13.201399828926546,0.0013159435390004204,100000.0,186.56540320911307,0.0,1.0,305.14656940340933,0.0
15,0.0,0.0,100000.0,-1.0,8.942670523667536,421.6138709212364,146.15817256151573,10.245824407451304,0.0013225747454650612,100000.0,152.34011140818544,0.0,1.0,310.86386068882024,0.0
16,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.09921924392449843,0.0012680737214863253,100000.0,12.004376295622212,0.0,1.0,399.85908505211876,0.0
17,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.0927196894719393,0.001215409916365165,100000.0,12.068870654063808,0.0,1.0,399.24481643832553,0.0
18,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.0873358361266714,0.0010690073783760775,100000.0,12.113128223805573,0.0,1.0,398.90551934646805,0.0
19,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08690032876396978,0.0009604218292116071,100000.0,12.022513963707617,0.0,1.0,399.2397862382876,0.0
20,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08711783392220424,0.000974849425634351,100000.0,12.036400411866378,0.0,1.0,398.9344263617959,0.0
21,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08524919326291346,0.0009505529374567736,100000.0,12.111726416707299,0.0,1.0,398.59514048176953,0.0
22,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08661109330545654,0.0009314909142675221,100000.0,12.09278725656942,0.0,1.0,398.71643213818265,0.0
23,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08589184680700843,0.0009450644497860158,100000.0,12.092830300056987,0.0,1.0,398.6432310479456,0.0
24,0.0,0.0,100000.0,-1.0,8.962316451046682,0.0,0.0,-0.08127998970441086,0.0009724454791330031,100000.0,12.132695828108226,0.0,1.0,398.201000437561,0.0
25,0.0,0.0,100000.0,-1.0,8.962316451046682,0.0,0.0,-0.08397704218909205,0.000998763290488919,100000.0,12.103333076324482,0.0,1.0,398.46097589038544,0.0
26,0.0,0.0,100000.0,-1.0,8.962316451046682,0.0,0.0,-0.08265304690318075,0.0010316046051876654,100000.0,12.11668511950961,0.0,1.0,398.3388484593537,0.0
27,0.0,0.0,100000.0,-1.0,8.962316451046682,0.0,0.0,-0.07472202531331089,0.0010667443576652836,100000.0,12.2011861859679,0.0,1.0,397.5893123853791,0.0
28,0.0,0.0,100000.0,-1.0,8.962316451046682,0.0,0.0,-0.07912638051373432,0.0010640796765677284,100000.0,12.156025379959859,0.0,1.0,398.01346639400145,0.0
29,0.0,0.0,100000.0,-1.0,8.962316451046682,0.0,0.0,-0.07689539588351633,0.0010485915355412845,100000.0,12.183194490963734,0.0,1.0,397.8145251857934,0.0
