,date,dd,hr,Ts_C,Ts_K,P,precip,u,O3,uh,O3_nmol,td,Tleaf_C,u_,Rn,cloudfrac,R,PAR,PPFD,Idrctt,Idfuse,VPD,RH,CO2,h,SWP,SWC,Hd,VPD_dd,esat,eact,is_daylight,sinB,leaf_fphen,LAI,V_cmax_25,J_max_25,snow_depth,ustar_ref,ustar
1980,,262,12,13.8975,,101.3,0,4,27.62857143,,1172.655642408901,808.6316371529167,13.8975,,0.9093739227201784,,375.7421590080233,169.0839715536105,772.71375,50.529398345596626,118.55457320801386,0.567819679,0.6425485361022979,391.0,,,,,2.250227873,1.5885224606675616,1.0207027816675618,True,0.5068393967481759,0.42,,,,,,
1981,,262,13,14.4275,,101.3,0,4,26.45714286,,1120.8664631228346,808.6316371529167,14.4275,,0.9181439001335598,,387.22394442013126,174.25077498905907,796.3260417,60.157711887075514,114.09306310198355,0.596700082,0.6370515426684573,391.0,,,,,2.846927955,1.644035316714219,1.047335234714219,True,0.47846647720178653,0.42,,,,,,
1982,,262,14,12.94,,101.3,0,4,27.25642857,,1160.7324024975294,808.6316371529167,12.94,,0.5999055831564263,,249.43433931436903,112.24545269146607,512.9617188,22.12072352496007,90.124729166506,0.469573963,0.68535461017932,391.0,,,,,3.316501918,1.4923910478002411,1.0228170848002411,True,0.4182137191177294,0.42,,,,,,
1983,,262,15,13.505,,101.3,0,4,27.39571429,,1164.3644668777777,808.6316371529167,13.505,,0.5555490935495662,,256.021684318016,115.2097579431072,526.5085938,36.409703327362685,78.80005461574453,0.491515764,0.6825814309450613,391.0,,,,,3.808017682,1.5484782930734236,1.0569625290734235,True,0.33018724838704244,0.42,,,,,,
1984,,262,16,12.645,,101.3,0,4,26.80214286,,1142.5645042507674,808.6316371529167,12.645,,0.30268826264909543,,163.37907245319715,73.52058260393872,335.9890625,22.668892691298677,50.85168991264004,0.410799133,0.7193652865838517,391.0,,,,,4.218816815,1.4638215208637897,1.0530223878637897,True,0.22038592351940106,0.42,,,,,,
1985,,262,17,11.7175,,101.3,0,4,26.81285714,,1146.742812184123,808.6316371529167,11.7175,,0.023402680907085083,,91.32514286408946,41.096314288840254,187.8101563,11.131398442850909,29.964915845989346,0.346888066,0.7481025899185596,391.0,,,,,4.565704881,1.3771005660115696,1.0302125000115696,True,0.09629252334926583,0.42,,,,,,
1986,,262,18,10.5825,,101.3,0,4,24.39142857,,1047.3551896081678,808.6316371529167,10.5825,,0.0,,32.21470034038415,14.496615153172867,66.24953125,0.0,0.0,0.249580905,0.804578736044335,391.0,,,,,4.565704881,1.2771430291056869,1.027562124105687,False,0.0,0.42,,,,,,
1987,,262,19,9.6525,,101.3,0,4,25.66785714,,1105.7888480372421,808.6316371529167,9.6525,,0.0,,2.976834123510819,1.3395753555798686,6.121859375,0.0,0.0,0.200628592,0.8328167553222694,391.0,,,,,4.565704881,1.2000520290579355,0.9994234370579356,False,0.0,0.42,,,,,,
1988,,262,20,8.8775,,101.3,0,4,22.25857143,,961.5495446222687,808.6316371529167,8.8775,,0.0,,0.0,0.0,0.0,0.0,0.0,0.164515535,0.855557238202589,391.0,,,,,4.565704881,1.138966971780436,0.974451436780436,False,0.0,0.42,,,,,,
1989,,262,21,8.0925,,101.3,0,4,21.095,,913.8279067781319,808.6316371529167,8.0925,,0.0,,0.0,0.0,0.0,0.0,0.0,0.133045298,0.8767984407373753,391.0,,,,,4.565704881,1.079899465528612,0.9468541675286121,False,0.0,0.42,,,,,,
