mm,dd,hr,vd,NOT_EXIST
2,77,10,0.013099058,0.013099058
2,77,11,0.008521407,0.008521407
2,77,12,0.007635965,0.007635965
2,77,13,0.009222406,0.009222406
2,77,14,0.011576302,0.011576302
2,77,15,0.009106319,0.009106319
2,77,16,0.006449645,0.006449645
2,77,17,0.013262392,0.013262392
2,77,18,0.007539685,0.007539685
2,77,19,0.008487095,0.008487095
2,77,20,0.004255875,0.004255875
2,77,21,0.011142918,0.011142918
2,77,22,0.00993974,0.00993974
2,77,23,0.001987724,0.001987724
2,78,0,0.005319329,0.005319329
2,78,1,0.00284159,0.00284159
2,78,2,0.00292168,0.00292168
2,78,3,0.002515211,0.002515211
2,78,4,0.007470681,0.007470681
2,78,5,0.005704857,0.005704857
2,78,6,0.00627955,0.00627955
2,78,7,0.006416144,0.006416144
2,78,8,0.00431052,0.00431052
2,78,9,0.002810115,0.002810115
2,78,10,0.006018932,0.006018932
2,78,11,0.011040979,0.011040979
2,78,12,0.007913419,0.007913419
2,78,13,0.013148358,0.013148358
2,78,14,0.013554713,0.013554713
2,78,15,0.013294287,0.013294287
2,78,16,0.01249008,0.01249008
2,78,17,0.007340067,0.007340067
2,78,18,0.009165697,0.009165697
2,78,19,0.007937834,0.007937834
2,78,20,0.001287834,0.001287834
2,78,21,0.004631972,0.004631972
2,78,22,0.006359205,0.006359205
2,78,23,0.005086565,0.005086565
2,79,0,0.004970416,0.004970416
2,79,1,0.003114999,0.003114999
2,79,2,0.007062612,0.007062612
2,79,3,0.007244914,0.007244914
2,79,4,0.006452408,0.006452408
2,79,5,0.009624537,0.009624537
2,79,6,0.007003706,0.007003706
2,79,7,0.007467467,0.007467467
2,79,8,0.005526964,0.005526964
2,79,9,0.010657428,0.010657428
2,79,10,0.011831408,0.011831408
2,79,11,0.004806281,0.004806281
2,79,12,0.012783817,0.012783817
2,79,13,0.008756069,0.008756069
2,79,14,0.00748988,0.00748988
2,79,15,0.010227701,0.010227701
2,79,16,0.01386078,0.01386078
2,79,17,0.011170915,0.011170915
2,79,18,0.004873875,0.004873875
2,79,19,0.009478266,0.009478266
2,79,20,0.003563621,0.003563621
2,79,21,0.004261065,0.004261065
2,79,22,0.011662895,0.011662895
2,79,23,0.011056077,0.011056077
2,80,0,0.013519164,0.013519164
2,80,1,0.013251877,0.013251877
2,80,2,0.00567709,0.00567709
