,lai,sai,rsto,dvi,photoperiod,PARsun,PARshade,A_n,fst,rsto_l,gsto_l,gsto,fO3_d,c_i,td_dd
0,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08589184680700843,0.013184664949539312,100000.0,12.066053624901782,0.0,1.0,398.62951530386215,0.0
1,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08777333576634706,0.012626121432013034,100000.0,12.050079016664357,0.0,1.0,398.8068776650502,0.0
2,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08682793732280705,0.012345048894544939,100000.0,12.062951854336621,0.0,1.0,398.7146305687289,0.0
3,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.0845402864760118,0.012165988412762875,100000.0,12.089548207983983,0.0,1.0,398.49501125149493,0.0
4,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08546292150673387,0.011986053606246282,100000.0,12.080994550701574,0.0,1.0,398.58366746466163,0.0
5,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08496498161532538,0.011878859146763069,100000.0,12.087288765617481,0.0,1.0,398.5372283902043,0.0
6,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08155292264011568,0.01139627929790504,100000.0,12.123285798276815,0.0,1.0,398.2158270061823,0.0
7,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08348701727278554,0.010972883487354089,100000.0,12.110301840676886,0.0,1.0,398.38629899172827,0.0
8,0.0,0.0,100000.0,-1.0,8.942670523667536,0.0,0.0,-0.08251479398317399,0.011120797440879763,100000.0,12.134111101024288,0.0,1.0,398.2814041299446,0.0
9,0.0,0.0,100000.0,-1.0,8.942670523667536,419.39110221234876,171.98417200427232,12.45652674274089,0.011348932548747217,100000.0,180.15044171409235,0.0,1.0,307.3082973345081,0.0
10,0.0,0.0,100000.0,-1.0,8.942670523667536,608.7420570544392,190.3681350209821,10.341088716446318,0.01225682741032049,100000.0,154.54698612305535,0.0,1.0,311.8150880130964,0.0
11,0.0,0.0,100000.0,-1.0,8.942670523667536,652.4753107637187,205.5393558970392,11.340098664761056,0.012718785295555483,100000.0,165.62682403269602,0.0,1.0,309.6224064383662,0.0
12,0.0,0.0,100000.0,-1.0,8.942670523667536,672.4935495962463,213.72471512324597,13.581400269765698,0.012935356926692303,100000.0,190.6301145960233,0.0,1.0,305.15666086450096,0.0
