,g_sv_per_layer,g_sv_sunlit,A_n,A_n_sunlit,A_c,A_j,A_p,A_n_limit_factor,R_d,c_i,c_i_sunlit,f_VPD,v_cmax,j_max,f_VPD_alt,loop_iterations
3244,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.419203210074421,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",44.60249476323483,160.9350989150986,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3245,"[20000, np.float64(20000.0), np.float64(20000.0)]",20000.0,0.0,0.0,0.0,0.0,0.0,"['NA', 'NA', 'NA']",5.256645758956205,0.0,0.0,"[1.0, np.float64(1.0), np.float64(1.0)]",43.264573378639724,157.63853106974645,"[1.0, np.float64(1.0), np.float64(1.0)]",0
3246,"[20000, np.float64(180966.36182991014), np.float64(66745.06064884108)]",501503.47986528365,44.032257495898605,28.78840321093512,240.68315490341865,53.323739433943025,249.9028249771373,"['NA', 'A_c', 'A_c']",7.4970847493141175,2709.5213346093383,295.65244387190876,"[1.0, np.float64(0.671217833725873), np.float64(0.671217833725873)]",61.70440013195566,200.53101142818306,"[1.0, np.float64(0.7043268622357061), np.float64(0.6847981213288675)]",1
3247,"[20000, np.float64(254574.77196246514), np.float64(111029.88001368404)]",378840.17189908563,74.37801840495752,23.18393039656675,211.66927886375692,86.70957235610273,193.59777273265638,"['NA', 'A_p', 'A_p']",5.80793318197969,2653.0744932127436,312.5035934672207,"[1.0, np.float64(0.6674743143946991), np.float64(0.667459913625276)]",47.8019183434366,168.68780233612,"[1.0, np.float64(0.6954415835008669), np.float64(0.6803451891613391)]",1
3248,"[20000, np.float64(311416.4671731961), np.float64(133390.62250663416)]",428841.2291053277,92.18432705424163,26.36481814570687,229.36656128554677,107.84522438510052,220.159825543051,"['NA', 'A_p', 'A_p']",6.60479476629153,2634.187439538603,311.50424805064586,"[1.0, np.float64(0.6639932740685823), np.float64(0.6639766141101662)]",54.36044978496261,184.05623746253252,"[1.0, np.float64(0.6951655533226636), np.float64(0.678138465792902)]",1
3249,"[20000, np.float64(356236.8182793208), np.float64(134987.54245984665)]",516917.18353082385,99.48484333971933,31.621888224321314,264.60391807238585,118.55484394902811,282.21164388388837,"['NA', 'A_c', 'A_c']",8.46634931651665,2639.863671087594,309.86590357761054,"[1.0, np.float64(0.6616483481557693), np.float64(0.6616291977973072)]",69.68188613994877,217.66641928796992,"[1.0, np.float64(0.6942969746107349), np.float64(0.6748524427211949)]",1
3250,"[20000, np.float64(352350.5747899009), np.float64(138736.8747870557)]",492155.8289539988,100.63862626035127,30.292354993886065,253.17732140862415,120.81350514780834,260.2977772527104,"['NA', 'A_c', 'A_c']",7.808933317581312,2638.01993155916,310.5018241071005,"[1.0, np.float64(0.6607643813132899), np.float64(0.6607407669099479)]",64.27105496918381,206.12544789980052,"[1.0, np.float64(0.6928986917190882), np.float64(0.6741730098452909)]",1
3251,"[20000, np.float64(356896.0223422366), np.float64(137188.74714976078)]",503541.57196219737,100.6023320191045,30.97053178040971,258.99355810977147,122.49001322187941,271.06466098114316,"['NA', 'A_c', 'A_c']",8.131939829434295,2643.313741857877,310.3791405391506,"[1.0, np.float64(0.6602960161110155), np.float64(0.6602735035526919)]",66.92954473141134,211.8374571372551,"[1.0, np.float64(0.6923533800645632), np.float64(0.6733350799405844)]",1
3252,"[20000, np.float64(389119.6585151597), np.float64(144938.21478421937)]",555343.4801402403,107.61287419233273,33.82498871498104,283.6490621513053,132.98358363377207,322.2094518810011,"['NA', 'A_c', 'A_c']",9.666283556430033,2642.7680152059547,309.4839062004249,"[1.0, np.float64(0.660558322925978), np.float64(0.6605354755062322)]",79.55788793897115,237.92508701398611,"[1.0, np.float64(0.6946869341491613), np.float64(0.6740605142314897)]",1
3253,"[20000, np.float64(378972.71591078775), np.float64(145548.2685117115)]",533237.0734132335,106.00126799773625,32.41720485374538,271.43734483232475,129.73768395159343,295.2537591480476,"['NA', 'A_c', 'A_c']",8.857612774441424,2642.747490123412,310.37164971547094,"[1.0, np.float64(0.6653527424619825), np.float64(0.6653274186541455)]",72.9021614565659,224.3818339964386,"[1.0, np.float64(0.6986257313555062), np.float64(0.6789072765265767)]",1
3254,"[20000, np.float64(388359.0468700718), np.float64(146629.4571026729)]",551683.4960547002,106.88790650185446,33.184487999248184,278.05871463896676,130.05788398792376,308.79998630851657,"['NA', 'A_c', 'A_c']",9.263999589255496,2644.734050458713,310.5440881519999,"[1.0, np.float64(0.6708354225281618), np.float64(0.6708114146701684)]",76.24690884413312,231.24278791993314,"[1.0, np.float64(0.7045376351459044), np.float64(0.6843975922251604)]",1
3255,"[20000, np.float64(349564.7060020594), np.float64(139663.80852541083)]",487299.15520630963,98.76627579350045,29.468259856658154,246.0887726842925,117.14274814623752,246.5190335860208,"['NA', 'A_c', 'A_c']",7.3955710075806245,2646.60315450964,312.41840106101284,"[1.0, np.float64(0.6755595028691906), np.float64(0.6755347180467987)]",60.86889609961982,198.6923850655471,"[1.0, np.float64(0.7062422216141058), np.float64(0.6885625588910287)]",1
3256,"[20000, np.float64(346776.6667699095), np.float64(124310.05447832204)]",536756.4780654904,92.84041952651759,32.38339436711101,271.15437219641603,110.52183822575938,294.95178690801674,"['NA', 'A_c', 'A_c']",8.848553607240502,2654.0327353977427,310.22759305261184,"[1.0, np.float64(0.6694562385111571), np.float64(0.669433920239746)]",72.82760041097023,224.22758556956148,"[1.0, np.float64(0.7008186620673109), np.float64(0.6815255083987732)]",1
