,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,f_LS,f_LA,c_i,td_dd,td_dd_flag,o3_ppb,o3_nmol_m3,o3_ppb_i,canopy_height,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
0,71,0,5.36,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,25.123,1097.6952158131292,25.123,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10327585574845156,100000.0,0,58.79751962566096,149.2581083780854,0.5809682975543957,90.0,200.0,0.0,0.0,,,0.0,0.0,0
1,71,1,5.85,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,24.77342857,1080.5204203877468,24.77342857,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11752080136892763,100000.0,0,51.67054754982327,149.2191111336629,0.5105478978508327,90.0,200.0,0.0,0.0,,,0.0,0.0,0
2,71,2,5.88,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,25.40285714,1107.8545177950455,25.40285714,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333293187978505,100000.0,0,72.86872090359691,149.33508236891257,0.7200034456870716,90.0,200.0,0.0,0.0,,,0.0,0.0,0
3,71,3,5.19,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,25.46164286,1113.170953606876,25.46164286,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03311949856760688,100000.0,0,183.3471042090503,149.93848733773507,1.8116215730190832,90.0,200.0,0.0,0.0,,,0.0,0.0,0
4,71,4,5.9,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,25.21907143,1099.7605357167663,25.21907143,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029202138521975955,100000.0,0,207.94244745660583,150.07259259952073,2.05464397915579,90.0,200.0,0.0,0.0,,,0.0,0.0,0
5,71,5,8.4,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,25.25185714,1091.412336292287,25.25185714,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02955826216248785,100000.0,0,205.43711676435763,150.05893616666842,2.0298892324189737,90.0,200.0,0.0,0.0,,,0.0,0.0,0
6,71,6,10.13,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,23.9655,1029.4888488631084,23.9655,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03810522953477351,100000.0,0,159.35776347141754,149.80760628461624,1.5745869746801378,90.0,200.0,0.0,0.0,,,0.0,0.0,0
7,71,7,10.38,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,1207.6981479303292,338.40574577014917,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,24.20471429,1038.8480025543745,24.20471429,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.059472647965487624,100000.0,0,102.10347719426154,149.49491862991843,1.0088671035375734,90.0,200.0,0.0,0.0,,,0.0,0.0,0
8,71,8,10.57,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,892.4139100704044,223.37553485455572,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,27.15121429,1164.5291727281556,27.15121429,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1278483869437728,100000.0,0,47.496603597330584,149.19626896454423,0.46930586710522215,90.0,200.0,0.0,0.0,,,0.0,0.0,0
9,71,9,10.75,694.4442013129103,0.0,0.0,4.28571414947509,-1.0,12.701908669196873,701.9145664018406,182.04248266595408,0.0,NA,0.0,0.0,[100000],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-770.0,28.79071429,1234.065222544684,28.79071429,0.001,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12179428505507046,100000.0,0,49.85754588140842,149.20918966402374,0.4926339365227332,90.0,200.0,0.0,0.0,,,0.0,0.0,0
