,dd,ts_c,par,td,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,f_LS,f_LA,c_i,td_dd,td_dd_flag,o3_ppb,o3_nmol_m3,canopy_height,o3_ppb_i,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves,f_LS_0,f_LS_1,f_LS_2,fO3_d_0,fO3_d_1,fO3_d_2,fO3_h_0,fO3_h_1,fO3_h_2,O3up_0,O3up_1,O3up_2,leaf_pop_distribution_0_0,leaf_pop_distribution_0_1,leaf_pop_distribution_0_2,leaf_pop_distribution_1_0,leaf_pop_distribution_1_1,leaf_pop_distribution_1_2,leaf_pop_distribution_2_0,leaf_pop_distribution_2_1,leaf_pop_distribution_2_2,leaf_pop_distribution_3_0,leaf_pop_distribution_3_1,leaf_pop_distribution_3_2,growing_populations_0,growing_populations_1,growing_populations_2,layer_lai_0,layer_lai_1,layer_lai_2,layer_lai_3
0,71,5.36,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,8.045324588900671,351.5230788878715,0.001,25.453489034716213,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10327585574845156,100000.0,283.95976783284624,58.79751962566096,2558.797519625661,0.19171953819295057,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
1,71,5.85,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,8.691303210991483,379.0807789370872,0.001,25.064574147811943,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11752080136892763,100000.0,249.54040203492548,51.67054754982327,2551.6705475498234,0.16848080629077475,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
2,71,5.88,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,6.91901424383147,301.74799419105676,0.001,25.8040578675872,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333293187978505,100000.0,351.9159515877154,72.86872090359691,2572.868720903597,0.23760113707673364,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
3,71,5.19,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,3.0236001095904905,132.1903631994743,0.001,26.274105571125077,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03311949856760688,100000.0,885.4659427045742,183.3471042090503,2683.3471042090505,0.5978351190962975,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
4,71,5.9,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,2.635866308808201,114.94561772025885,0.001,26.0933951519164,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029202138521975955,100000.0,1004.2479594088466,207.94244745660583,2707.942447456606,0.6780325131214107,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
5,71,8.4,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,2.6722712942223867,115.49843008632152,0.001,26.12048762676115,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02955826216248785,100000.0,992.148586403921,205.43711676435763,2705.4371167643576,0.6698634466982613,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
6,71,10.13,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,0.0,0.0,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,3.2691944436642943,140.43517658791285,0.001,24.659870633315233,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03810522953477351,100000.0,769.6105857151908,159.35776347141754,2659.3577634714175,0.5196137016444454,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
7,71,10.38,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,1207.6981479303292,338.40574577014917,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,4.984409573167257,213.92708325158702,0.001,24.70770339632717,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.059472647965487624,100000.0,493.10378845224795,102.10347719426154,2602.1034771942614,0.3329261441673992,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
8,71,10.57,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,892.4139100704044,223.37553485455572,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,10.083260509739347,432.476090917746,0.001,27.447409659136564,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1278483869437728,100000.0,229.3825422605165,47.496603597330584,2547.4966035973307,0.1548709361447233,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
9,71,10.75,694.4442013129103,0.0,0.0,5.657142677307118,-1.0,12.701908669196873,701.9145664018406,182.04248266595408,0.0,NA,0.0,0.0,"[100000, 100000, 100000, 100000]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0,10.349972554106701,443.6340500156121,0.001,29.118585522815096,0.0,0.0,0.0,-0.015600329309258809,0.06607020548895037,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12179428505507046,100000.0,240.78459845475268,49.85754588140842,2549.8575458814084,0.16256919905250194,90.0,200.0,0.0,0.0,,,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0
