Time,td_2m,pres,SWDOWN,RAINNC,rh,wspeed,o3,HFX_FORCE,SNOWH,XTIME,XLAT,XLONG
0,294.81732,93572.56,183.64197,0.0,86.13711,2.860189,0.02942823,0.0,0.0,2017-10-01 00:00:00,27.300335,108.74487
1,294.94,93527.4,406.69318,0.0,81.35363,3.2975152,0.032316055,0.0,0.0,2017-10-01 01:00:00,27.300335,108.74487
