,dd,hr,ts_c,par,td,lai,sai,dvi,photoperiod,o3_ppb_i,u_i,ustar,canopy_height,|,micro_u,PARsun,PARshade,o3_ppb,o3_nmol_m3,layer_height,LAI_flag,A_n,A_n_limit_factor,fst,fst_canopy,fst_acc,fst_acc_day,fst_acc_day_prev,rsto_l,rb_l,gsto_l,gsto_l_bulk,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_h,fO3_d,fO3_l,f_LS,f_LA,c_i,td_dd,td_dd_flag,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,pet,es,ei_acc,et_acc,pet_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc,total_emerged_leaves
10,100,10,11.49,793.73,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,44.454,5.305309874756834,0.35080619794198314,1.0,|,0.9400000000000002,510.4383196468663,122.33710894096373,30.324460023473357,1203.2763402278842,1.0,3.0,74.26576254707373,['A_p'],12.622477436807555,12.622477436807555,0.0,0.0,0.0,66.09672943708817,28.47840310196989,620.303006656697,1860.9090199700909,620.303006656697,1860.9090199700909,1860.9090199700909,74.26576254707373,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,997.6485914962001,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.001075883670568656,0.00043896677887091145,False,0,0.003283945636362527,0.0011978116507530185,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,66.09672943708817,35.47158235213379,17.30974022366266,51.180232244247236,171.03460099805346,180.0,400.0,0.4157241895383575,3,51.041761200737966,176.36311844517545,2.296879254033208,2.296879254033208,0
11,100,11,12.91,886.63,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,48.137,5.531067741767764,0.3657341212586632,1.0,|,0.98,516.4038554444144,114.84365533617853,32.54776404959642,1284.9493475209053,1.0,3.0,81.75116121013065,['A_p'],14.56926051228819,14.56926051228819,0.0,0.0,0.0,59.6393996929438,27.891156462585034,687.4650015105851,2062.395004531755,687.4650015105851,2062.395004531755,2062.395004531755,81.75116121013065,0,0,1e-05,0,0,0,0,1.0,1.0,1.0,1,1,994.5430224148846,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.001244346321219417,0.0005410055690620529,False,0,0.004528291957581944,0.0017388172198150715,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,59.63939969294381,34.023762664291596,16.603220214533575,47.10632219540628,164.05359687568395,180.0,400.0,0.45050141765475077,3,59.352357328751445,195.33241672546654,2.670856079793815,2.670856079793815,0
12,100,12,15.75,897.91,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,50.745,5.7568256087786915,0.3806620445753433,1.0,|,1.0199999999999998,500.7427389011574,106.24565728682015,33.974574865899996,1326.1128368133027,1.0,3.0,89.2718393042681,['A_c'],16.244963921612925,16.244963921612925,0.0,0.0,0.0,53.706136452525556,27.338801640546865,763.4136936333642,2290.2410809000926,763.4136936333642,2290.2410809000926,2290.2410809000926,89.2718393042681,0,0,1e-05,0,0,0,0,0.9944383276947032,0.9944383276947032,1.0,1,1,992.6671673462712,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0015522037274757015,0.0007385888651880855,False,0,0.006080495685057645,0.002477406085003157,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,53.706136452525556,32.68949746177036,15.95211353945383,43.233156916396474,157.62012248840227,180.0,400.0,0.4649264469449877,3,79.55788793897116,237.92508701398617,3.5801049572537016,3.5801049572537016,0
13,100,13,14.81,875.35,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,51.671,5.47462827501503,0.3620021404294931,1.0,|,0.9699999999999998,494.53477669964076,106.54268882831674,34.47450204343659,1351.314712444071,1.0,3.0,86.28349618738642,['A_c'],15.989859488459874,15.989859488459874,0.0,0.0,0.0,55.84988354544123,28.034556669835496,734.1107518450079,2202.3322555350237,734.1107518450079,2202.3322555350237,2202.3322555350237,86.28349618738642,0,0,1e-05,0,0,0,0,0.9868976623527419,0.9814088609558725,1.0,1,1,992.6048953815969,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0013248090011218176,0.0006228083786388718,False,0,0.007405304686179463,0.003100214463642029,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,55.84988354544123,34.374523104129665,16.77438743324011,44.73557904570455,165.7448710702787,180.0,400.0,0.46068174100772197,3,72.30747114571354,223.14995471852666,3.2538362015571085,3.2538362015571085,0
14,100,14,15.29,796.98,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,51.435,5.248870408004103,0.3470742171128131,1.0,|,0.9300000000000002,482.39576314234813,110.91547422989862,33.91012281867364,1326.414934461323,1.0,3.0,87.59717224294062,['A_c'],15.780475432682424,15.780475432682424,0.0,0.0,0.0,54.795534700636544,28.63110340893088,748.2361514308521,2244.7084542925563,748.2361514308521,2244.7084542925563,2244.7084542925563,87.59717224294062,0,0,1e-05,0,0,0,0,0.9880456323019307,0.9696767385698626,1.0,1,1,990.9620946564937,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.001271886044602524,0.0006228398197371602,False,0,0.008677190730781987,0.003723054283379189,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,54.795534700636544,35.85299721613522,17.495866462626775,44.158257213872275,172.87368272921535,180.0,400.0,0.4372690367934055,3,75.93763404560426,230.61311865056297,3.4171935320521913,3.4171935320521913,0
15,100,15,14.49,674.13,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,50.422,4.966673074240441,0.3284143129669629,1.0,|,0.88,462.4409321157131,114.23284348260245,33.03801979239204,1295.6200376358922,1.0,3.0,85.36989684274823,['A_c'],14.971893272011682,14.971893272011682,0.0,0.0,0.0,56.43909558539774,29.433250304019783,726.4467932155839,2179.3403796467514,726.4467932155839,2179.3403796467514,2179.3403796467514,85.36989684274823,0,0,1e-05,0,0,0,0,0.9889878605529292,0.9589985231061504,1.0,1,1,990.4207140726219,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0011178406774341213,0.0005467051668795459,False,0,0.009795031408216108,0.0042697594502587345,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,56.43909558539774,37.890099330688365,18.489949784366935,45.360649126982786,182.6960510661026,180.0,400.0,0.39199725160410165,3,69.96956114396139,218.2708385615195,3.148630251478262,3.148630251478262,0
16,100,16,15.33,500.65,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,48.438,4.740915207229511,0.31348638965028275,1.0,|,0.84,415.50259201038386,106.23608767173309,31.610381096328123,1235.7605579598512,1.0,3.0,82.28919774453558,['A_c'],13.87328746552496,13.87328746552496,0.0,0.0,0.0,58.24702852257601,30.125892135456038,703.8985685614637,2111.695705684391,703.8985685614637,2111.695705684391,2111.695705684391,82.28919774453558,0,0,1e-05,0,0,0,0,0.9926264802759475,0.95192732858069,1.0,1,1,991.8231900163528,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0008703664960291685,0.00043544050838867403,False,0,0.010665397904245276,0.004705199958647408,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,58.247028522576,39.69438977500686,19.370423583622504,46.64722716213627,191.3958630216313,180.0,400.0,0.32021791211080725,3,76.24690884413312,231.24278791993314,3.43111089798599,3.43111089798599,0
17,100,17,14.91,294.78,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,45.389,4.345838939960386,0.2873625238460925,1.0,|,0.77,327.3222699937494,80.95982073305534,30.153586673569684,1180.6539945040367,1.0,3.0,66.95670603939587,['A_c'],11.340844176510286,11.340844176510286,0.0,0.0,0.0,71.73798313084309,31.465468119086278,571.5242917440263,1714.5728752320788,571.5242917440263,1714.5728752320788,1714.5728752320788,66.95670603939587,0,0,1e-05,0,0,0,0,0.9975702064051377,0.9496143416549302,1.0,1,1,1000.3917699440672,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,0.0005435804060226326,0.0002534552655226202,False,0,0.011208978310267908,0.004958655224170028,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,71.73798313084309,43.30297066364385,21.13137118213364,55.24827236781711,208.7954869326887,180.0,400.0,0.217848298656295,3,73.05147648714606,224.69055644334804,3.287316441921573,3.287316441921573,0
18,100,18,10.06,71.24,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,41.221,2.765533870883882,0.1828670606293316,1.0,|,0.49,124.60535183181938,30.347876354783203,28.622922905591317,1141.615540214514,1.0,3.0,27.336389740096138,['A_p'],5.290499913305079,5.290499913305079,0.0,0.0,0.0,173.60285643412809,39.44405173965775,236.17122921912895,708.5136876573869,236.17122921912895,708.5136876573869,708.5136876573869,27.336389740096138,0,0,1e-05,0,0,0,0,1.0,0.9496143416549302,1.0,1,1,1026.9881854083385,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,9.816672140758732e-05,3.182865482210154e-05,False,0,0.011307145031675495,0.0049904838789921295,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,173.60285643412809,68.04752532858319,33.20644042906715,106.74506581659396,328.1071937513679,180.0,400.0,0.09149392955339646,3,43.73817511963507,158.80927846335703,1.9682178803835786,1.9682178803835786,0
19,100,19,13.0,0.0,-11.434166666666671,3,4.28571414947509,-1.001,13.942296987044244,38.987,2.426897070367488,0.1604751756543114,1.0,|,0.43,0.0,0.0,31.11935648081363,1227.1246417810232,1.0,3.0,0.0,['NA'],0.6013271521765136,0.6013271521765136,0.0,0.0,0.0,1965.484180249281,42.10613048896167,20.86,62.58,20.86,62.58,62.58,0.0,0,0,1e-05,0,0,0,0,1.0,0.9496143416549302,1.0,1,1,0.0,0.0,0.0,0,0,0.0,-0.015600329309258809,0.12388163529178195,0.0,0.29,7.405346832803327e-05,3.753128865464133e-06,False,0,0.011381198500003529,0.004994237007857593,False,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1965.484180249281,77.5425288628041,37.83989723312303,252.1710928756241,373.8895928794658,180.0,400.0,0.0,3,59.91714019350346,196.587172427277,2.6962713087076553,2.6962713087076553,0
