,dd,ts_c,par,lai,sai,dvi,photoperiod,PARsun,PARshade,A_n,A_n_limit_factor,fst,fst_acc,rsto_l,gsto_l,gsto,gsto_bulk,gsto_canopy,A_n_canopy,c_root,c_stem,c_leaf,c_harv,c_resv,npp,npp_acc,fO3_d,fO3_h,c_i,td_dd,o3_ppb,o3_nmol_m3,canopy_height,o3_ppb_i,pody,pod0,precip_acc,swp,asw,smd,sn,ei,et,es,ei_acc,et_acc,es_acc,f_phen,leaf_f_phen,f_light,leaf_f_light,f_temp,f_VPD,f_SW,f_O3,ustar,rsto_c,ra,rb,rsur,rinc,V_cmax_25,J_max_25,f_LS,LAIsunfrac,component_LAI,V_cmax,J_max,R_d,R_dc
58,102,13.86,803.01,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,511.43830508725,121.59201770516317,29.153379432546984,A_p,15.597889296515136,0.0,55.15787667483138,743.3208540949576,743.3208540949576,2229.9625622848725,2229.9625622848725,87.46013829764095,0,0,1e-05,0,0,0,0,0.9960827616316668,0.9960827616316668,329.1230604362422,0.0,34.2856762410154,1340.0285740298539,1.0,64.552,0.43658425768458603,1.0909703861768898,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.001700834130371336,0.001277887107584941,0,0.0056226110228434255,0.0037528512656031356,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.31348638965028275,18.38595889161046,39.69438977500686,19.370423583622504,17.047806037714672,191.3958630216313,180.0,400.0,1.0,0.4191856241680277,0,65.55461789978354,208.89356486690076,0.9833192684967531,2.9499578054902593
59,102,15.85,895.21,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,516.8631999402689,113.67056736050603,30.28318674063219,A_c,17.176193919167915,0.0,52.49389392794607,781.0432210701922,781.0432210701922,2343.129663210577,2343.129663210577,90.84956022189657,0,0,1e-05,0,0,0,0,0.9859321784221267,0.989809498165682,329.1302025288162,0.0,36.59508713160321,1420.1367773340949,1.0,69.042,0.4768185557935905,1.1528046842858943,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.002054202413473141,0.0015753687262175789,0,0.007676813436316566,0.0053282199918207145,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.32468233213779285,17.497964642648686,38.32561771379972,18.70247794280793,16.27006506182861,184.7960056760578,180.0,400.0,1.0,0.453401484909357,0,80.36344989348206,239.53495237230175,1.205451748402231,3.6163552452066927
60,102,20.22,931.14,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,515.0549350734138,107.87081561688336,31.404388746878055,A_c,15.840181504797405,0.0,65.82166790017492,622.8951849439695,622.8951849439695,1868.6855548319086,1868.6855548319086,94.21316624063417,0,0,1e-05,0,0,0,0,0.9688825788326867,0.9827071273637443,316.61147739151954,0.0,39.67357332434661,1512.602999544984,1.0,71.419,0.5122432092108612,1.209829337703165,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.0025169275216240265,0.0018796693753203328,0,0.010193740957940593,0.007207889367141047,0.0,1.0,0.0,0.0,0.0,0.01,0.7394913999999999,1.0,0.9999999338521647,0.339610255454473,21.940555966724975,36.64097517692941,17.880391000266926,20.02130106189626,176.67310432765967,180.0,400.0,1.0,0.4675089702555179,0,122.19475359719874,315.7170551114991,1.8329213039579808,5.498763911873942
61,102,18.65,907.36,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,508.7029853500088,108.3453935143465,30.83708069184042,A_c,16.65727246176624,0.0,59.32439003671704,691.1154075857213,691.1154075857213,2073.346222757164,2073.346222757164,92.51124207552127,0,0,1e-05,0,0,0,0,0.9579527919876913,0.9887191832284117,322.59520384909837,0.0,38.86198408117595,1492.3550815579847,1.0,71.831,0.5506093900732196,1.2697955185655234,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.0023234256525349233,0.0017735452516961679,0,0.012517166610475517,0.008981434618837214,0.0,1.0,0.0,0.0,0.0,0.01,0.8485795,1.0,0.9999999338521647,0.32468233213779285,19.774796678905677,38.32561771379972,18.70247794280793,18.220749197144105,184.7960056760578,180.0,400.0,1.0,0.463145412834612,0,105.67951011008026,287.2603539841533,1.5851926516512038,4.755577954953612
62,102,19.45,826.57,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,496.61090242769524,113.19263136481558,30.96483031905229,A_c,15.833997103542803,0.0,63.0044571972408,650.7476109451435,650.7476109451435,1952.2428328354304,1952.2428328354304,92.89449095715688,0,0,1e-05,0,0,0,0,0.9436239965295341,0.9850422739220521,319.0263103368605,0.0,38.833088241627244,1486.0508829280361,1.0,71.497,0.5860117796459737,1.3267979081382775,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.002218951292043293,0.0016958039206042572,0,0.01473611790251881,0.010677238539441471,0.0,1.0,0.0,0.0,0.0,0.01,0.7888775500000001,1.0,0.9999999338521647,0.31348638965028275,21.0014857324136,39.69438977500686,19.370423583622504,19.273421857657763,191.3958630216313,180.0,400.0,1.0,0.4398014004457729,0,113.89378429768323,301.66081977327633,1.7084067644652485,5.125220293395746
63,102,18.32,693.81,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,472.3350085371836,115.97227355750596,30.28728699423003,A_c,15.882679518553054,0.0,59.508857275543726,688.9730684989933,688.9730684989933,2066.91920549698,2066.91920549698,90.86186098269009,0,0,1e-05,0,0,0,0,0.9330054079958366,0.9887470130340574,322.78188464035617,0.0,37.714724013875276,1446.514723135276,1.0,70.723,0.6215894259127648,1.3839755544050685,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.0018917623378364742,0.0014676029687640505,0,0.016627880240355285,0.012144841508205521,0.0,1.0,0.0,0.0,0.0,0.01,0.8628751000000001,1.0,0.9999999338521647,0.29855846633360267,19.836285758514574,41.6791092637572,20.338944762803624,18.30800078705871,200.96565617271284,180.0,400.0,1.0,0.39480651251731946,0,102.41670867431304,281.40045582396965,1.5362506301146956,4.608751890344087
64,102,19.59,517.2,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,425.51523178272487,108.45821520023571,28.44419134964808,A_c,14.186045069689726,0.0,69.52087132386646,589.7509513222216,589.7509513222216,1769.2528539666646,1769.2528539666646,85.33257404894424,0,0,1e-05,0,0,0,0,0.9223019159963507,0.9885279421665114,319.52638227911643,0.0,37.655922656942046,1438.6126133426005,1.0,68.938,0.6510591881636478,1.4350453166559516,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.001666242486112421,0.001264011076501268,0,0.018294122726467705,0.013408852584706789,0.0,1.0,0.0,0.0,0.0,0.01,0.7775420500000001,1.0,0.9999999338521647,0.29482648550443263,23.173623774622158,42.20669292532374,20.59639975980114,21.121532001294824,203.5095252381902,180.0,400.0,1.0,0.3235455161330903,0,115.37481058347464,304.204754127763,1.7306221587521198,5.19186647625636
65,102,18.96,307.95,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,337.9302582072555,83.46859568182124,22.92468820396808,A_c,12.262453797503127,0.0,81.81070283096872,501.1569217870086,501.1569217870086,1503.4707653610258,1503.4707653610258,68.77406461190424,0,0,1e-05,0,0,0,0,0.9187628564892973,0.9961627971863962,325.8615207296144,0.0,36.67335263657253,1403.7940973687712,1.0,65.738,0.6736040218346591,1.4791901503269629,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.0012562576216694366,0.0009178406042570788,0,0.019550380348137143,0.014326693188963867,0.0,1.0,0.0,0.0,0.0,0.01,0.8252946999999999,1.0,0.9999999338521647,0.2836305430169225,27.270234276989576,43.872746593428644,21.409415539793297,24.50128535489091,211.54279597127672,180.0,400.0,1.0,0.22186458982607635,0,108.8117843818961,292.81031685359255,1.6321767657284414,4.896530297185324
66,102,11.26,79.25,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,137.09960851620204,32.79164963869659,9.898414327684094,A_p,6.176841836122908,0.0,158.98458737565304,257.8866333949976,257.8866333949976,773.6599001849928,773.6599001849928,29.69524298305228,0,0,1e-05,0,0,0,0,0.9187628564892973,1.0,340.3347993494744,0.0,32.55098689606047,1279.8681481893113,1.0,59.585,0.6742406524447015,1.5014267809370054,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.0002290881594341099,0.00015704067277482074,0,0.019779468507571254,0.014483733861738688,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.13808329067929123,52.99486245855101,90.11699300271827,43.97609678444027,45.12628671892898,434.52033767073044,180.0,400.0,1.0,0.095943848545308,0,49.79779110434241,173.4360764588631,0.7469668665651361,2.2409005996954083
67,102,15.96,0.0,3.0,4.28571414947509,-0.32324999999999976,14.029221064987752,0.0,0.0,-1.218859183638102,A_j,0.7803425293779478,0.0,1965.484180249281,20.86,20.86,62.58,62.58,-3.6565775509143057,0,0,1e-05,0,0,0,0,0.9187628564892973,1.0,453.3626165961888,0.0,41.41827267568094,1601.7007374602686,1.0,56.42,0.6742406524447015,1.504236014042766,0.002028,-0.025749539036522585,0.10793215764692064,0.015949477644861307,0.26873402980685157,0.00027041142836949414,5.239542214595098e-05,0,0.020049879935940748,0.014536129283884638,0.0,1.0,0.0,0.0,0.0,0.01,1.0,1.0,0.9999999338521647,0.11942338653344103,655.161393416427,104.19777315939301,50.84736190700907,214.39496378899543,502.41414043178224,180.0,400.0,1.0,0.0,0,81.2572789092068,241.3140614901837,1.218859183638102,3.6565775509143057
